obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 936717, 630622, 146395, 48014, 22440, 22797, 35400, 12348, NA, NA, 2.01, 1854733,  X*
2, 5.0, 1956162, 178144, 59869, 34294, 33344, 68850, 15234, 11940, NA, NA, 1.93, 2357837,  X*
3, 6.0, 329671, 37311, 1385, 7281, 5482, 11343, 6507, 2255, NA, NA, 1.60, 401235,  X*
4, 7.0, 363486, 156493, 22759, 10530, 4318, 31022, 3603, 3027, 50, 37, 1.75, 595238,  X*
5, 8.0, 2006499, 154392, 26501, 44763, 35642, 32385, 30418, 7142, 57, 50, 1.69, 2337742,  X*
6, 9.0, 1009647, 242857, 25366, 20714, 47173, 48203, 10342, 20223, 66, 37, 1.54, 1424525,  X*
7, 10.0, 14274, 17617, 10896, 5422, 11650, 9358, 5906, 2573, 81, 56, 1.45, 77696,  X*
8, 11.0, 1414674, 62020, 29329, 40222, 93735, 32698, 24596, 10344, 84, 77, 1.55, 1707618,  X*
9, 12.0, 1229611, 21256, 34752, 26844, 34049, 23491, 28094, 5270, 90, 88, 1.40, 1403367,  X*
10, 13.0, 154022, 37941, 10148, 10462, 5688, 4999, 3890, 1538, 83, 100, 1.51, 228688,  X*
11, 14.0, 1270106, 116518, 24584, 24513, 58685, 31134, 17182, 9784, 80, 88, 1.53, 1552506,  X*
12, 15.0, 62470, 37027, 4580, 5192, 10702, 14314, 3882, 4355, 83, 57, 1.47, 142522,  X*
13, 16.0, 290266, 14958, 3689, 8542, 4247, 11368, 3367, 4620, 87, 43, 1.42, 341057,  X*
14, 17.0, 1725400, 170705, 13704, 101694, 52727, 35673, 14037, 10166, 91, 43, 1.53, 2124106,  X*
15, 18.0, 163734, 19713, 14129, 6834, 7434, 5448, 5471, 2121, 88, 64, 1.47, 224884,  X*
16, 19.0, 313314, 173893, 16666, 69115, 46934, 38459, 18166, 5250, 80, 81, 1.57, 681797,  X*
17, 20.0, 570317, 212848, 31913, 39259, 25815, 32366, 14572, 10568, 67, 74, 1.69, 937658,  X*
18, 21.0, 336672, 46279, 4827, 12847, 33738, 8759, 2713, 3078, 67, 54, 1.79, 448913,  X*
19, 22.0, 3782394, 270714, 50449, 37565, 65865, 32137, 13931, 14613, 64, 34, 1.74, 4267668,  X*
20, 23.0, 146868, 17007, 5136, 17090, 12302, 8190, 4447, 4548, 67, 44, 1.71, 215588,  X*
21, 24.0, 162118, 144595, 81980, 92673, 7331, 18108, 16039, 16423, 61, 69, 1.79, 539267,  X*
22, 25.0, 178608, 6410, 1822, 1200, 4090, 2110, 672, 998, 66, 69, 1.72, 195910,  X*
23, 26.0, 2038060, 563594, 95241, 85187, 87223, 61149, 31077, 13194, 64, 70, 1.80, 2974725,  X*
24, 27.0, 504015, 40104, 750, 11887, 6735, 21427, 4579, 1657, 70, 47, 1.70, 591154,  X*
25, 28.0, 2445949, 72131, 60378, 93076, 11606, 31150, 11123, 9104, 81, 47, 1.95, 2734517,  X*
26, 29.0, 306126, 37014, 10940, 5650, 18305, 6867, 5835, 3618, 75, 48, 1.74, 394355,  X*
27, 30.0, 46867, 52980, 2023, 24037, 19305, 15229, 3949, 1072, 83, 47, 1.89, 165462,  X*
28, 31.0, 769307, 150524, 3728, 46417, 26113, 68279, 17091, 16676, 81, 48, 1.69, 1098135,  X*
29, 32.0, 683817, 95932, 16845, 26117, 58619, 29675, 21176, 6340, 84, 17, 1.70, 938521,  X*
30, 33.0, 363235, 166126, 27294, 13935, 23276, 48777, 11052, 7212, 91, 11, 1.45, 660907,  X*
31, 34.0, 645945, 164589, 4977, 7167, 11114, 15554, 4637, 6286, 84, 1, 1.40, 860269,  X*
32, 35.0, 141201, 40534, 17673, 4612, 3634, 5659, 6875, 4632, 70, 11, 1.25, 224820,  X*
33, 36.0, 559887, 411639, 41991, 51103, 29064, 26827, 8167, 7186, 57, 14, 1.53, 1135864,  X*
34, 37.0, 143574, 10863, 13406, 6884, 3277, 5722, 3180, 4227, 54, 48, 1.59, 191133,  X*
35, 38.0, 327000, 119027, 11052, 3804, 14103, 6935, 6303, 2509, 48, 54, 1.55, 490733,  X*
36, 39.0, 795259, 99506, 56401, 35961, 26641, 84601, 11385, 8906, 63, 56, 1.77, 1118660,  X*
37, 40.0, 720982, 84002, 13903, 23405, 24416, 19188, 12068, 12553, 75, 61, 1.75, 910517,  X*
38, 41.0, 5204, 20275, 25077, 12462, 7499, 7355, 2026, 1140, 70, 63, 1.94, 81038,  X*
39, 42.0, 276269, 60568, 9616, 14923, 7256, 11669, 2236, 1252, 81, 78, 2.14, 383789,  X*
40, 43.0, 340630, 149837, 48061, 34073, 86227, 35710, 19809, 11348, 70, 70, 2.21, 725695,  X*
41, 44.0, 625879, 91081, 19025, 63830, 48503, 18746, 18495, 6781, 67, 80, 2.15, 892340,  X*
42, 45.0, 69690, 67616, 4579, 17129, 8575, 10033, 1072, 825, 66, 60, 2.55, 179519,  X*
43, 46.0, 783509, 46465, 1372, 29843, 27118, 14418, 48793, 6399, 69, 63, 2.00, 957917,  X*
44, 47.0, 849994, 156708, 34144, 8503, 29955, 38683, 10433, 9755, 74, 56, 1.75, 1138175,  X*
45, 48.0, 606331, 385400, 51035, 41160, 12435, 18952, 22679, 14786, 61, 44, 1.73, 1152778,  X*
46, 49.0, 224194, 26917, 1899, 7992, 16215, 9459, 5081, 1767, 70, 41, 1.61, 293524,  X*
47, 50.0, 185750, 263880, 14234, 11775, 4212, 19837, 16869, 3345, 60, 20, 1.21, 519902,  X*
48, 51.0, 1617123, 121104, 50330, 29909, 24041, 37730, 20675, 10730, 60, 30, 1.39, 1911642,  X*
49, 52.0, 1014902, 224922, 22603, 25047, 36350, 22671, 21677, 17031, 67, 26, 1.34, 1385203,  X*
50, 53.0, 914539, 448257, 16019, 92210, 33149, 40311, 28019, 7326, 53, 27, 1.36, 1579830,  X*
51, 54.0, 259974, 39575, 27355, 8893, 4912, 9197, 3739, 2185, 57, 56, 1.61, 355830,  X*
52, 55.0, 1372649, 91360, 11560, 25721, 13118, 42076, 19197, 8080, 64, 50, 1.60, 1583761,  X*
53, 56.0, 1160999, 214137, 46333, 28551, 50575, 14234, 9746, 8551, 57, 57, 1.68, 1533126,  X*
54, 57.0, 351309, 73822, 5254, 8923, 4640, 12471, 9449, 2886, 66, 53, 1.68, 468754,  X*
55, 58.0, 202293, 72127, 18153, 4999, 7910, 14186, 4265, 2440, 69, 40, 1.70, 326373,  X*
56, 59.0, 461383, 165736, 14375, 9134, 13505, 16387, 10276, 2908, 56, 27, 1.49, 693704,  X*
57, 60.0, 762107, 32655, 3613, 4278, 16625, 6931, 1979, 2740, 69, 20, 1.52, 830928,  X*
58, 61.0, 25733, 8856, 6340, 3850, 7255, 7266, 2938, 1907, 80, 34, 1.41, 64145,  X*
59, 62.0, 1218350, 72508, 22338, 10709, 30879, 45851, 10531, 5996, 91, 34, 1.47, 1417162,  X*
60, 63.0, 270720, 38123, 2926, 6860, 9005, 10296, 5370, 2809, 100, 37, 1.32, 346109,  X*
61, 64.0, 1772908, 109013, 14163, 27362, 46368, 43159, 21495, 10623, 100, 41, 1.27, 2045091,  X*
62, 65.0, 565877, 66402, 43190, 17135, 14966, 9344, 5833, 3549, 88, 48, 1.51, 726296,  X*
63, 66.0, 307808, 48327, 17864, 13815, 15802, 8599, 7327, 2243, 74, 56, 1.60, 421785,  X*
64, 67.0, 575511, 23336, 3742, 9131, 5276, 5475, 3340, 3049, 69, 67, 1.60, 628860,  X*
65, 68.0, 686715, 81311, 5821, 39972, 64306, 16282, 13890, 10545, 61, 74, 1.63, 918842,  X*
66, 69.0, 58305, 11379, 21904, 7822, 8605, 5995, 4402, 1592, 67, 81, 1.85, 120004,  X*
67, 70.0, 236933, 18650, 7177, 1752, 2690, 7942, 2959, 1322, 77, 75, 1.63, 279425,  X*
68, 71.0, 109284, 32091, 5978, 5405, 16908, 6315, 1620, 3913, 77, 67, 1.55, 181514,  X*
69, 72.0, 582102, 261155, 110751, 17807, 16004, 44438, 10288, 13944, 77, 74, 1.69, 1056489,  X*
70, 73.0, 50995, 20917, 12287, 14182, 5910, 7674, 2317, 1405, 78, 64, 1.98, 115687,  X*
71, 74.0, 649033, 60334, 16594, 3819, 7502, 20924, 4245, 2371, 77, 61, 1.87, 764822,  X*
72, 75.0, 70427, 38264, 30650, 8009, 17779, 4614, 2068, 2178, 67, 78, 2.16, 173989,  X*
73, 76.0, 94359, 56781, 35067, 12904, 19439, 10553, 3609, 3893, 67, 81, 2.36, 236605,  X*
74, 77.0, 51953, 18788, 3107, 2614, 598, 3219, 435, 572, 66, 66, 2.41, 81286,  X*
75, 78.0, 105413, 58862, 25825, 5932, 18825, 14386, 2087, 1446, 60, 74, 2.45, 232776,  X*
76, 79.0, 165232, 20544, 24632, 13348, 5584, 10549, 4277, 3403, 70, 80, 2.55, 247569,  X*
77, 80.0, 538091, 20393, 2671, 11030, 2867, 5214, 1610, 973, 75, 80, 2.42, 582849,  X*
78, 81.0, 226801, 124069, 13955, 7793, 19295, 9836, 4184, 4788, 66, 69, 2.23, 410721,  X*
79, 82.0, 173329, 11522, 16644, 22134, 8821, 8736, 7492, 1319, 67, 88, 2.21, 249997,  X*
80, 83.0, 52689, 12149, 6332, 1249, 1416, 2957, 610, 454, 66, 75, 2.14, 77856,  X*
81, 84.0, 66292, 15858, 2630, 1604, 1726, 1279, 558, 525, 57, 63, 2.09, 90472,  X*
82, 85.0, 85823, 99672, 29374, 19542, 8617, 16658, 3026, 3281, 63, 77, 2.21, 265993,  X*
83, 86.0, 787263, 488380, 64322, 56259, 30299, 43741, 21942, 7918, 53, 51, 2.31, 1500124,  X*
84, 87.0, 79669, 9690, 12103, 10840, 9175, 4858, 2891, 1273, 51, 64, 2.34, 130499,  X*
85, 88.0, 95840, 64723, 21636, 39322, 76658, 24003, 10990, 4654, 61, 69, 2.24, 337826,  X*
86, 89.0, 52263, 18961, 12186, 4158, 6858, 6959, 5946, 2148, 64, 75, 2.13, 109479,  X*
87, 90.0, 116804, 20110, 9232, 6922, 12844, 10368, 1791, 1284, 80, 83, 2.03, 179355,  X*
88, 91.0, 145565, 33017, 15097, 3650, 19378, 7845, 4104, 1569, 81, 66, 1.97, 230225,  X*
89, 92.0, 420332, 213396, 26235, 25579, 13393, 10681, 1852, 5894, 66, 60, 2.03, 717362,  X*
90, 93.0, 402457, 51080, 26664, 7001, 15321, 8092, 4318, 4062, 60, 60, 2.01, 518995,  X*
91, 94.0, 10729, 36534, 5691, 5035, 3407, 7856, 1659, 3601, 53, 51, 2.02, 74512,  X*
92, 95.0, 455871, 198021, 295432, 30150, 64998, 33263, 11604, 9825, 44, 67, 2.26, 1099164,  X*
93, 96.0, 94629, 18949, 3870, 6118, 3152, 1980, 669, 668, 51, 78, 2.45, 130035,  X*
94, 97.0, 722335, 36360, 8044, 7287, 6281, 5195, 8991, 5418, 51, 74, 2.12, 799911,  X*
95, 98.0, 60094, 20576, 5740, 2459, 3288, 2671, 836, 483, 44, 78, 2.23, 96147,  X*
96, 99.0, 255856, 42468, 14506, 3462, 14578, 8258, 3213, 2049, 53, 60, 2.29, 344390,  X*
97, 100.0, 844985, 255032, 25932, 110594, 22845, 37709, 11438, 6576, 57, 61, 2.12, 1315111,  X*
98, 101.0, 1367634, 82248, 40620, 42872, 48862, 60831, 7080, 16652, 69, 66, 1.96, 1666799,  X*
99, 102.0, 75841, 14577, 11959, 12602, 4424, 10474, 4397, 1338, 81, 78, 2.18, 135612,  X*
100, 103.0, 1468298, 202848, 66790, 4185, 60380, 14176, 11009, 5976, 69, 77, 2.05, 1833662,  X*
101, 104.0, 190021, 107751, 24365, 84786, 65687, 27910, 8994, 6385, 70, 80, 2.21, 515899,  X*
102, 105.0, 1502698, 207918, 57260, 16615, 56453, 36642, 15697, 7319, 61, 70, 2.03, 1900602,  X*
103, 106.0, 350451, 200203, 2956, 4605, 43365, 80774, 19291, 12474, 64, 35, 1.74, 714119,  X*
104, 107.0, 421885, 37538, 15030, 6152, 8721, 14323, 1824, 1886, 80, 43, 1.78, 507359,  X*
105, 108.0, 848914, 35320, 3295, 9535, 3419, 7183, 4264, 1687, 81, 38, 1.72, 913617,  X*
106, 109.0, 767158, 145888, 101324, 91281, 68588, 11633, 20499, 7631, 69, 56, 1.74, 1214002,  X*
107, 110.0, 768043, 50851, 12472, 39323, 42099, 36756, 24128, 6621, 67, 84, 1.66, 980293,  X*
108, 111.0, 972522, 82629, 30450, 23331, 8590, 31039, 20915, 24048, 67, 87, 1.78, 1193524,  X*
109, 112.0, 141225, 195305, 17529, 45794, 20930, 26036, 23781, 6286, 63, 87, 1.61, 476886,  X*
110, 113.0, 837911, 186447, 20420, 77804, 41206, 15702, 6084, 16200, 67, 78, 1.73, 1201774,  X*
111, 114.0, 112178, 10685, 22309, 9636, 11095, 11897, 9793, 3131, 66, 88, 1.51, 190724,  X*
112, 115.0, 760055, 26964, 13862, 9053, 14252, 7649, 1978, 2890, 61, 90, 1.68, 836703,  X*
113, 116.0, 710336, 144466, 11215, 12175, 24632, 88775, 27882, 10004, 78, 78, 1.62, 1029485,  X*
114, 117.0, 1396904, 170764, 26358, 24783, 41087, 40621, 24690, 5080, 90, 69, 1.61, 1730287,  X*
115, 118.0, 1601001, 97412, 11557, 40366, 62767, 42236, 32055, 10406, 90, 56, 1.41, 1897800,  X*
116, 119.0, 72279, 42336, 3631, 7482, 21574, 10161, 3257, 1142, 91, 43, 1.42, 161862,  X*
117, 120.0, 46136, 8930, 1687, 4177, 5181, 1855, 1000, 646, 77, 57, 1.36, 69612,  X*
118, 121.0, 59057, 4331, 2488, 1263, 1310, 4046, 1389, 572, 88, 64, 1.47, 74456,  X*
119, 122.0, 847314, 205404, 23777, 53915, 36630, 57191, 12978, 6876, 83, 64, 1.58, 1244085,  X*
120, 123.0, 487246, 278532, 55454, 22433, 56318, 23351, 8402, 14697, 75, 69, 1.73, 946433,  X*
121, 124.0, 230695, 22001, 13831, 7645, 7051, 9819, 1796, 1224, 80, 75, 1.93, 294062,  X*
122, 125.0, 243970, 78314, 9550, 3615, 5130, 13948, 2775, 1733, 67, 63, 1.90, 359035,  X*
123, 126.0, 775175, 210451, 59142, 29413, 8075, 32666, 12287, 8997, 61, 66, 2.02, 1136206,  X*
124, 127.0, 676385, 138926, 33075, 23629, 7262, 52181, 18453, 15521, 77, 67, 1.89, 965432,  X*
125, 128.0, 336500, 14558, 15490, 1428, 5593, 16910, 3746, 2529, 84, 66, 1.82, 396754,  X*
126, 129.0, 426708, 59975, 47151, 63773, 36199, 39863, 13006, 8986, 90, 84, 1.74, 695661,  X*
127, 130.0, 406222, 14683, 1643, 920, 2352, 3958, 843, 1306, 96, 75, 1.62, 431927,  X*
128, 131.0, 1918181, 38384, 36221, 63437, 58324, 37044, 12210, 3510, 96, 84, 1.74, 2167311,  X*
129, 132.0, 218750, 173283, 15613, 28966, 21510, 38088, 18181, 5677, 84, 75, 1.76, 520068,  X*
130, 133.0, 94686, 61194, 19867, 4257, 4798, 8602, 2218, 1484, 78, 64, 1.95, 197106,  X*
131, 134.0, 1690627, 49280, 13305, 31261, 30171, 33612, 23810, 11668, 83, 77, 1.72, 1883734,  X*
132, 135.0, 641496, 87996, 14531, 22634, 37537, 10857, 3246, 1568, 70, 66, 2.07, 819865,  X*
133, 136.0, 1382225, 172079, 46448, 23757, 22690, 32610, 14032, 13263, 67, 74, 1.86, 1707104,  X*
134, 137.0, 38674, 31448, 18233, 5631, 6964, 7853, 1956, 1057, 70, 78, 2.13, 111816,  X*
135, 138.0, 475074, 314581, 10347, 15250, 39716, 34963, 14091, 11863, 57, 60, 1.85, 915885,  X*
136, 139.0, 450851, 40617, 8676, 34459, 40246, 42738, 11914, 5080, 77, 63, 1.93, 634581,  X*
137, 140.0, 565284, 289052, 20732, 29400, 37695, 65220, 12396, 9980, 81, 53, 1.67, 1029759,  X*
138, 141.0, 1399260, 159928, 43067, 17241, 18696, 22826, 8037, 9565, 78, 48, 1.71, 1678620,  X*
139, 142.0, 513202, 100773, 17365, 5973, 41178, 70947, 13108, 14069, 94, 53, 1.35, 776615,  X*
140, 143.0, 869059, 61313, 7868, 58083, 50134, 39720, 21067, 10869, 90, 56, 1.41, 1118113,  X*
141, 144.0, 336348, 87991, 15130, 16992, 8053, 5728, 5352, 892, 75, 66, 1.60, 476486,  X*
142, 145.0, 1213139, 274942, 123565, 61049, 59243, 36998, 9647, 5893, 74, 70, 1.98, 1784476,  X*
143, 146.0, 2534501, 152066, 87029, 46146, 26217, 36785, 15078, 12476, 56, 90, 2.05, 2910298,  X*
144, 147.0, 266325, 90859, 82370, 39486, 39691, 60092, 10647, 19785, 56, 93, 2.27, 609255,  X*
145, 148.0, 778061, 246273, 54016, 10925, 13321, 33163, 16836, 6065, 66, 90, 2.33, 1158660,  X*
146, 149.0, 529010, 172232, 23057, 8654, 53524, 22250, 9789, 9430, 69, 75, 2.09, 827946,  X*
147, 150.0, 940437, 165836, 22917, 52685, 23202, 19968, 9943, 9668, 64, 69, 1.79, 1244656,  X*
148, 151.0, 381679, 28099, 27763, 13722, 27668, 23534, 11682, 10497, 64, 67, 1.63, 524644,  X*
149, 152.0, 33961, 15226, 14619, 8928, 10832, 7451, 4081, 3894, 70, 78, 1.57, 98992,  X*
150, 153.0, 99881, 58015, 7036, 48144, 13920, 4823, 3369, 5559, 61, 96, 1.70, 240747,  X*
151, 154.0, 1662950, 155128, 74803, 12818, 35438, 24556, 14725, 5829, 63, 96, 1.84, 1986247,  X*
152, 155.0, 106608, 27897, 4101, 3025, 3942, 6395, 1525, 1892, 57, 84, 1.75, 155385,  X*
153, 156.0, 93915, 41928, 9281, 4737, 9608, 10925, 3962, 729, 57, 74, 1.85, 175085,  X*
154, 157.0, 209349, 92021, 18353, 9575, 6297, 14285, 6393, 2176, 67, 61, 1.87, 358449,  X*
155, 158.0, 1342676, 380134, 5328, 106138, 32963, 75657, 42466, 15944, 70, 56, 1.66, 2001306,  X*
156, 159.0, 37427, 18225, 3867, 3720, 1878, 5087, 1172, 930, 74, 61, 1.64, 72306,  X*
157, 160.0, 73511, 29721, 35745, 19754, 13460, 7486, 7346, 2981, 64, 80, 1.83, 190004,  X*
158, 161.0, 109819, 62668, 10512, 6350, 11165, 8209, 5733, 1797, 64, 78, 1.77, 216253,  X*
159, 162.0, 1319487, 16404, 6475, 8187, 25992, 9358, 5849, 1516, 70, 80, 1.70, 1393268,  X*
160, 163.0, 598165, 70518, 11945, 17261, 6176, 7002, 9047, 3698, 61, 81, 1.76, 723812,  X*
161, 164.0, 113730, 4342, 654, 5834, 6122, 1955, 1770, 1721, 69, 75, 1.63, 136128,  X*
162, 165.0, 1284330, 130188, 18922, 34382, 73151, 9649, 11846, 8340, 61, 77, 1.48, 1570808,  X*
163, 166.0, 1061395, 98993, 16703, 75115, 5977, 86024, 13710, 9332, 64, 81, 1.55, 1367249,  X*
164, 167.0, 678288, 226088, 161011, 56896, 14543, 51769, 12325, 23435, 70, 90, 1.74, 1224355,  X*
165, 168.0, 122003, 11376, 3272, 1440, 2789, 1728, 574, 2407, 64, 84, 1.69, 145589,  X*
166, 169.0, 272037, 150642, 8550, 2803, 16242, 9304, 3662, 966, 66, 69, 1.76, 464206,  X*
167, 170.0, 78943, 35972, 1265, 12436, 46800, 13960, 10017, 8875, 61, 57, 1.59, 208268,  X*
168, 171.0, 185438, 127129, 5479, 14787, 7032, 4434, 3326, 2221, 48, 40, 1.59, 349846,  X*
169, 172.0, 344583, 151478, 30511, 137377, 33026, 50185, 15007, 17794, 51, 48, 1.53, 779961,  X*
170, 173.0, 353919, 71909, 47640, 64855, 18306, 41041, 13476, 8005, 64, 74, 1.73, 619151,  X*
