obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 130442, 48392, 26279, 4291, 6422, 5546, 3772, 6857, NA, NA, 1.58, 232001,  X*
2, 6.0, 1163154, 40436, 24781, 9746, 3848, 7087, 6123, 5579, NA, NA, 1.63, 1260754,  X*
3, 7.0, 58244, 3011, 4630, 3331, 1316, 1465, 1535, 1464, NA, NA, 1.63, 74996,  X*
4, 8.0, 1487168, 191718, 24686, 17145, 23093, 17548, 7637, 13782, 34, 30, 1.57, 1782777,  X*
5, 9.0, 388904, 161430, 25177, 57515, 23645, 26944, 16058, 7376, 41, 30, 1.63, 707049,  X*
6, 10.0, 77260, 31216, 4139, 7043, 5782, 6159, 4946, 3086, 56, 26, 1.55, 139631,  X*
7, 11.0, 893835, 20259, 17466, 3294, 10123, 8323, 4436, 1775, 80, 29, 1.57, 959511,  X*
8, 12.0, 171754, 67357, 15991, 31880, 20090, 36050, 12027, 7091, 100, 37, 1.56, 362240,  X*
9, 13.0, 204569, 49621, 3220, 6739, 9260, 15721, 3289, 2682, 100, 24, 1.53, 295101,  X*
10, 14.0, 55089, 11508, 1205, 3534, 3632, 6138, 4199, 2757, 100, 24, 1.31, 88062,  X*
11, 15.0, 27725, 61045, 18149, 7710, 3199, 10251, 2018, 2456, 100, 17, 1.55, 132553,  X*
12, 16.0, 138330, 23645, 1868, 7476, 2177, 3202, 5221, 1423, 83, 17, 1.44, 183342,  X*
13, 17.0, 61227, 36415, 1620, 19294, 3878, 5813, 6435, 2542, 57, 30, 1.40, 137224,  X*
14, 18.0, 1270716, 226380, 18259, 7851, 18753, 21775, 11593, 14779, 27, 21, 1.34, 1590106,  X*
15, 19.0, 133777, 35724, 8270, 8986, 6181, 6117, 4275, 4942, 24, 23, 1.45, 208272,  X*
16, 20.0, 519348, 237607, 16956, 62611, 24943, 10201, 6491, 13077, 13, 21, 1.37, 891234,  X*
17, 21.0, 128869, 134387, 4514, 9617, 5071, 12774, 3115, 2658, 11, 4, 1.44, 301005,  X*
18, 22.0, 82643, 10681, 3246, 7561, 8433, 9756, 2419, 784, 43, 17, 1.54, 125523,  X*
19, 23.0, 12794, 19834, 8364, 6484, 7809, 9220, 3144, 1303, 57, 20, 1.72, 68952,  X*
20, 24.0, 531861, 35552, 9344, 6896, 9380, 5730, 3116, 2485, 80, 21, 1.78, 604364,  X*
21, 25.0, 1595233, 150371, 22721, 47579, 26671, 31039, 8367, 6474, 88, 35, 1.82, 1888455,  X*
22, 26.0, 914990, 26194, 6297, 12965, 5382, 7013, 5635, 2915, 70, 38, 1.81, 981391,  X*
23, 27.0, 15567, 26408, 14336, 5617, 11954, 5124, 1851, 1827, 57, 40, 1.90, 82684,  X*
24, 28.0, 203144, 38320, 13785, 9480, 5977, 13476, 4379, 1275, 66, 41, 1.94, 289836,  X*
25, 29.0, 330500, 203245, 48152, 35309, 19610, 17971, 11307, 9588, 53, 41, 2.00, 675682,  X*
26, 30.0, 2047274, 29947, 23678, 117026, 20906, 30355, 16070, 18191, 54, 54, 1.95, 2303447,  X*
27, 31.0, 116773, 67326, 18321, 68448, 19796, 19267, 15874, 5868, 56, 60, 2.05, 331673,  X*
28, 32.0, 192723, 108988, 9528, 41993, 21406, 40968, 13911, 10357, 61, 57, 1.87, 439874,  X*
29, 33.0, 62449, 9230, 17287, 4772, 6168, 6704, 2958, 1984, 80, 67, 1.85, 111552,  X*
30, 34.0, 282207, 72928, 27060, 6233, 34738, 33680, 9978, 6024, 91, 48, 1.73, 472848,  X*
31, 35.0, 259051, 25904, 14293, 19249, 6621, 6754, 5805, 2581, 90, 50, 1.75, 340258,  X*
32, 36.0, 146745, 25490, 1327, 8034, 9013, 6518, 2546, 2317, 83, 47, 1.62, 201990,  X*
33, 37.0, 407874, 166306, 13716, 25210, 17070, 70813, 15834, 6909, 91, 27, 1.61, 723732,  X*
34, 38.0, 36835, 9044, 7259, 2682, 2595, 6411, 2015, 2289, 90, 35, 1.50, 69130,  X*
35, 39.0, 291797, 76848, 7360, 62181, 52441, 33729, 23506, 14168, 100, 27, 1.47, 562030,  X*
36, 40.0, 509660, 80905, 21862, 9841, 17286, 17131, 11626, 11454, 100, 29, 1.29, 679765,  X*
37, 41.0, 473496, 108607, 35634, 52486, 20765, 29963, 12073, 5639, 88, 43, 1.49, 738663,  X*
38, 42.0, 1350290, 37734, 33115, 23303, 33114, 40944, 7334, 10479, 91, 43, 1.58, 1536313,  X*
39, 43.0, 514384, 71439, 23689, 4638, 10346, 5162, 16203, 3593, 66, 40, 1.52, 649454,  X*
40, 44.0, 779531, 104492, 21132, 7678, 13516, 22520, 9608, 6078, 66, 37, 1.54, 964555,  X*
41, 45.0, 109592, 22618, 2290, 3262, 6351, 2182, 1164, 326, 56, 24, 1.71, 147785,  X*
42, 46.0, 265019, 76957, 26467, 37207, 8916, 27586, 26384, 6750, 43, 26, 1.55, 475286,  X*
43, 47.0, 80329, 2551, 8608, 7152, 7787, 12460, 3591, 3199, 77, 34, 1.50, 125677,  X*
44, 48.0, 289817, 30446, 22856, 9360, 15776, 10193, 6932, 2004, 74, 44, 1.65, 387384,  X*
45, 49.0, 619923, 60576, 34003, 18072, 48175, 13669, 17883, 6601, 77, 53, 1.68, 818902,  X*
46, 50.0, 1555656, 217570, 45456, 24684, 53316, 41165, 23080, 10667, 67, 44, 1.57, 1971594,  X*
47, 51.0, 314122, 36246, 27616, 11159, 33830, 30010, 13876, 5363, 60, 38, 1.56, 472222,  X*
48, 52.0, 675708, 304677, 24507, 67963, 17103, 75824, 17481, 4288, 63, 27, 1.68, 1187551,  X*
49, 53.0, 309722, 88457, 10246, 29110, 27599, 33625, 10544, 1520, 74, 23, 1.68, 510823,  X*
50, 54.0, 683301, 47074, 18644, 61261, 22639, 15800, 44861, 5803, 69, 37, 1.65, 899383,  X*
51, 55.0, 452507, 62299, 3030, 81114, 15950, 27860, 12388, 11488, 61, 44, 1.67, 666636,  X*
52, 56.0, 472699, 14504, 15821, 3403, 9333, 5804, 2026, 1163, 57, 54, 1.85, 524753,  X*
53, 57.0, 51493, 30834, 16440, 9373, 5906, 6795, 2934, 2661, 48, 64, 1.85, 126436,  X*
54, 58.0, 56516, 33169, 23144, 7017, 7831, 15429, 3956, 2110, 57, 60, 1.90, 149172,  X*
55, 59.0, 1534621, 184080, 41251, 134390, 32841, 30537, 16280, 10056, 47, 56, 2.14, 1984056,  X*
56, 60.0, 57016, 7115, 1481, 7790, 6433, 5246, 4434, 1448, 54, 54, 2.07, 90963,  X*
57, 61.0, 187514, 75143, 21800, 1893, 21833, 5244, 2285, 1565, 43, 44, 2.04, 317277,  X*
58, 62.0, 716929, 35543, 5456, 10666, 6523, 3786, 4565, 3048, 27, 40, 1.90, 786516,  X*
59, 63.0, 100496, 31015, 2041, 2097, 780, 1981, 647, 401, 21, 23, 1.87, 139458,  X*
60, 64.0, 2093977, 177582, 12692, 29530, 32347, 20063, 15442, 5080, 4, 13, 1.66, 2386713,  X*
61, 65.0, 213043, 169961, 10202, 29745, 59003, 31538, 7748, 9628, 20, 8, 1.71, 530868,  X*
62, 66.0, 946575, 32182, 15278, 6987, 24262, 7541, 3510, 5819, 27, 8, 1.58, 1042154,  X*
63, 67.0, 277561, 41610, 46172, 41911, 74212, 23153, 7463, 12012, 43, 23, 1.72, 524094,  X*
64, 68.0, 109127, 3553, 2836, 654, 1652, 1403, 747, 782, 54, 35, 1.60, 120754,  X*
65, 69.0, 223190, 15907, 3841, 9267, 2826, 5892, 1333, 3857, 56, 47, 1.63, 266113,  X*
66, 70.0, 1212434, 39052, 35484, 49664, 37301, 31528, 8784, 7654, 64, 56, 1.79, 1421901,  X*
67, 71.0, 615176, 157425, 4607, 14540, 37967, 31276, 6918, 11915, 66, 37, 1.68, 879824,  X*
68, 72.0, 1505452, 146692, 13837, 4692, 13088, 26844, 8384, 2725, 63, 20, 1.51, 1721714,  X*
69, 73.0, 404494, 80584, 41833, 35191, 26726, 22167, 6319, 3061, 57, 21, 1.81, 620375,  X*
70, 74.0, 1134015, 122843, 20582, 47648, 39338, 39232, 18157, 7292, 56, 13, 1.82, 1429107,  X*
71, 75.0, 70967, 81288, 33959, 18553, 19859, 13602, 2539, 2727, 48, 29, 1.99, 243494,  X*
72, 76.0, 122507, 44197, 19194, 3420, 11359, 7830, 1321, 1032, 43, 41, 2.37, 210860,  X*
73, 77.0, 391305, 109896, 103532, 26275, 25244, 30648, 9079, 3469, 41, 43, 2.74, 699448,  X*
74, 78.0, 344632, 37256, 7765, 23162, 6939, 13813, 3960, 1826, 40, 48, 2.61, 439353,  X*
75, 79.0, 990626, 53705, 28928, 11373, 10865, 8963, 3319, 1750, 40, 51, 2.84, 1109529,  X*
76, 80.0, 106478, 81142, 7161, 6770, 5578, 5520, 4072, 3009, 30, 43, 2.50, 219730,  X*
77, 81.0, 265751, 46123, 4673, 4607, 7723, 7507, 3238, 2044, 34, 26, 2.19, 341666,  X*
78, 82.0, 860437, 196768, 44847, 27566, 22572, 11719, 11420, 3422, 11, 20, 2.02, 1178751,  X*
79, 83.0, 17735, 65760, 14751, 9125, 6196, 13837, 3614, 1068, 17, 13, 2.03, 132086,  X*
80, 84.0, 73768, 42991, 5400, 15616, 8257, 16846, 1207, 2932, 40, 20, 1.92, 167017,  X*
