obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 618434, 52665, 2964, 19115, 11288, 9054, 2347, 3098, NA, NA, 1.85, 718965,  X*
2, 5.0, 538267, 128321, 28394, 7375, 13646, 9941, 5721, 900, NA, NA, 2.13, 732565,  X*
3, 6.0, 846469, 117275, 465, 9305, 3795, 4314, 3887, 5668, NA, NA, 1.71, 991178,  X*
4, 7.0, 1169848, 81599, 2484, 8993, 5476, 5833, 7710, 1347, 41, 38, 1.57, 1283290,  X*
5, 8.0, 2145021, 914503, 97936, 15292, 46277, 43344, 38152, 16397, 37, 37, 1.53, 3316922,  X*
6, 9.0, 1694287, 243692, 100909, 28159, 31028, 59256, 42707, 8920, 54, 53, 1.48, 2208958,  X*
7, 10.0, 495157, 128326, 24539, 8066, 8848, 11620, 10055, 4361, 61, 60, 1.29, 690972,  X*
8, 11.0, 252014, 85384, 23656, 16789, 17239, 25281, 9687, 6598, 80, 74, 1.44, 436648,  X*
9, 12.0, 483121, 271299, 42589, 27231, 36842, 44962, 46343, 11934, 100, 83, 1.43, 964321,  X*
10, 13.0, 75606, 33273, 11867, 2473, 3194, 4592, 1095, 639, 90, 83, 1.71, 132739,  X*
11, 14.0, 888227, 83002, 47428, 35913, 15180, 18694, 26796, 8055, 97, 97, 1.71, 1123295,  X*
12, 15.0, 366404, 137012, 19224, 15539, 12450, 12362, 7691, 5458, 81, 93, 1.74, 576140,  X*
13, 16.0, 1451459, 15254, 20584, 10150, 5760, 8028, 2012, 1967, 87, 100, 1.97, 1515214,  X*
14, 17.0, 473477, 126451, 3239, 7998, 17749, 13016, 11365, 3630, 87, 81, 1.91, 656925,  X*
15, 19.0, 654020, 40218, 9938, 1218, 4022, 2744, 1463, 725, 70, 63, 1.78, 714348,  X*
16, 20.0, 963285, 234844, 6952, 29384, 36789, 31414, 33106, 17228, 80, 51, 1.62, 1353002,  X*
17, 21.0, 141380, 112062, 36149, 26754, 12110, 14611, 8802, 4125, 67, 41, 1.75, 355993,  X*
18, 22.0, 1574146, 146925, 18602, 52840, 18787, 57905, 44330, 21184, 83, 61, 1.40, 1934719,  X*
19, 23.0, 902867, 393417, 43509, 74745, 36455, 25516, 35242, 11547, 80, 63, 1.56, 1523298,  X*
20, 24.0, 1383291, 30009, 6483, 19597, 6818, 11930, 3302, 5788, 88, 83, 1.47, 1467218,  X*
21, 25.0, 306032, 9823, 3357, 399, 3369, 6581, 1649, 651, 100, 74, 1.55, 331861,  X*
22, 26.0, 430872, 270345, 123374, 12985, 32589, 50693, 17781, 5286, 87, 77, 1.55, 943925,  X*
23, 27.0, 424670, 35590, 2209, 12327, 12366, 7733, 11375, 4693, 100, 77, 1.52, 510963,  X*
24, 28.0, 186607, 80230, 3921, 11607, 5618, 12727, 4425, 4246, 88, 60, 1.46, 309381,  X*
25, 29.0, 144318, 137020, 29314, 7065, 18986, 19048, 5317, 1622, 69, 61, 1.58, 362690,  X*
26, 30.0, 753062, 6659, 3347, 4375, 2780, 1953, 2906, 610, 70, 67, 1.66, 775692,  X*
27, 31.0, 229340, 4759, 10167, 929, 1986, 1355, 1171, 1864, 61, 84, 1.55, 251571,  X*
28, 32.0, 535678, 61304, 9954, 7980, 9830, 10880, 2620, 3810, 61, 87, 1.70, 642056,  X*
29, 33.0, 3416818, 51243, 17121, 62627, 6519, 76536, 16129, 13712, 80, 97, 1.75, 3660705,  X*
30, 34.0, 51939, 28533, 8871, 12059, 9095, 10753, 6744, 1269, 83, 90, 1.65, 129263,  X*
31, 35.0, 1030145, 280984, 5551, 126101, 62419, 48369, 20987, 14231, 84, 77, 1.66, 1588787,  X*
32, 36.0, 692936, 26897, 4372, 13940, 10650, 6582, 5036, 3586, 81, 84, 1.60, 763999,  X*
33, 37.0, 85775, 18829, 2548, 8153, 3455, 1795, 1072, 1552, 54, 83, 1.66, 123179,  X*
34, 38.0, 435055, 14472, 14068, 11834, 7806, 13047, 4589, 4340, 60, 88, 1.68, 505211,  X*
35, 39.0, 2186899, 117426, 6520, 33615, 46080, 71605, 17847, 6993, 77, 78, 1.58, 2486985,  X*
36, 40.0, 455852, 24425, 6499, 7249, 4101, 12618, 3375, 2640, 87, 75, 1.56, 516759,  X*
37, 41.0, 1934664, 223195, 29427, 87655, 65039, 83679, 23661, 13755, 100, 69, 1.62, 2461075,  X*
38, 42.0, 75302, 95879, 35384, 31855, 71993, 76010, 28536, 11604, 100, 60, 1.50, 426563,  X*
39, 43.0, 39946, 28018, 2490, 11433, 4971, 10557, 6447, 5152, 100, 67, 1.36, 109014,  X*
40, 44.0, 594314, 108615, 93120, 93921, 82542, 26986, 16077, 18038, 87, 80, 1.59, 1033613,  X*
41, 45.0, 220485, 73398, 7923, 23338, 12727, 8348, 12843, 3146, 75, 81, 1.57, 362208,  X*
42, 46.0, 212722, 127982, 13513, 12629, 33085, 6670, 5268, 2785, 44, 74, 1.59, 414654,  X*
43, 47.0, 2191455, 16446, 25843, 14514, 9724, 22325, 4380, 5543, 50, 84, 1.72, 2290230,  X*
44, 48.0, 962952, 16180, 14090, 13870, 35182, 11294, 9824, 3256, 63, 77, 1.82, 1066648,  X*
45, 49.0, 1363719, 88548, 28083, 42438, 15108, 45766, 18451, 18796, 78, 80, 1.63, 1620909,  X*
46, 50.0, 114064, 8942, 8804, 2796, 1439, 3603, 3206, 631, 94, 100, 1.70, 143485,  X*
47, 51.0, 267973, 8655, 3410, 3306, 2621, 2045, 1690, 675, 81, 93, 1.68, 290375,  X*
48, 52.0, 79747, 15322, 342, 3700, 3184, 2459, 2630, 1198, 70, 84, 1.47, 108582,  X*
49, 53.0, 260174, 42633, 57429, 57131, 28738, 16142, 12188, 5405, 60, 96, 1.68, 479840,  X*
50, 54.0, 1057900, 12227, 3961, 2185, 2163, 2687, 1557, 939, 57, 84, 1.72, 1083619,  X*
51, 55.0, 143616, 73634, 19313, 11252, 13618, 8056, 4139, 4085, 51, 80, 1.75, 277713,  X*
52, 56.0, 47503, 48070, 5594, 8019, 18738, 19556, 8794, 4816, 63, 78, 1.60, 161090,  X*
53, 57.0, 648660, 341636, 15551, 31922, 41539, 33432, 30435, 12703, 61, 50, 1.63, 1155878,  X*
54, 58.0, 79952, 17673, 1349, 1953, 1301, 1714, 3012, 958, 53, 40, 1.30, 107912,  X*
55, 59.0, 2004278, 214606, 17896, 32914, 43120, 34470, 16578, 14401, 60, 30, 1.24, 2378263,  X*
56, 60.0, 333468, 136057, 27775, 6872, 10857, 16761, 6102, 4119, 47, 37, 1.21, 542011,  X*
57, 61.0, 179531, 36052, 6374, 7708, 6943, 5009, 14201, 8409, 47, 48, 1.16, 264227,  X*
58, 62.0, 110059, 26858, 380, 2724, 3625, 3271, 1286, 1772, 50, 41, 1.14, 149975,  X*
59, 63.0, 1038488, 137549, 24913, 87171, 21334, 155880, 17096, 22120, 67, 50, 1.27, 1504551,  X*
60, 64.0, 716524, 185731, 36287, 31856, 59433, 58548, 32279, 13298, 78, 50, 1.27, 1133956,  X*
61, 65.0, 51802, 17651, 654, 1164, 660, 2093, 1899, 1204, 80, 37, 1.07, 77127,  X*
62, 66.0, 752832, 57307, 29250, 26676, 19105, 28831, 4419, 2036, 91, 57, 1.51, 920456,  X*
63, 67.0, 813182, 376564, 42529, 95263, 45247, 34133, 28798, 12226, 64, 56, 1.69, 1447942,  X*
64, 68.0, 280884, 23950, 1670, 5100, 3752, 12525, 7170, 4429, 70, 53, 1.52, 339480,  X*
65, 69.0, 901806, 208493, 68063, 48585, 39264, 49999, 19971, 20437, 75, 69, 1.61, 1356618,  X*
66, 70.0, 529839, 122128, 5019, 3552, 10254, 38575, 5760, 1950, 77, 43, 1.67, 717077,  X*
67, 71.0, 1681140, 105359, 4388, 8075, 12406, 4293, 10322, 3357, 69, 29, 1.27, 1829340,  X*
68, 72.0, 302436, 29657, 6985, 4276, 5791, 12867, 5234, 1627, 67, 30, 1.16, 368873,  X*
69, 73.0, 161401, 86944, 1802, 3973, 6015, 7893, 3820, 4824, 60, 10, 1.18, 276672,  X*
70, 74.0, 872487, 20825, 10812, 22024, 12300, 8508, 8017, 3692, 53, 43, 1.17, 958665,  X*
71, 75.0, 969905, 142847, 43537, 34568, 12591, 74014, 10154, 9442, 80, 56, 1.36, 1297058,  X*
