obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 816780, 237049, 89885, 37471, 14734, 75558, 15427, 11221, NA, NA, 2.14, 1298125,  X*
2, 6.0, 179083, 42653, 17648, 4227, 2366, 8325, 1486, 1655, NA, NA, 2.32, 257443,  X*
3, 7.0, 514464, 120333, 7417, 11180, 8924, 9411, 3827, 2010, NA, NA, 2.15, 677566,  X*
4, 8.0, 761349, 69203, 40674, 29588, 12996, 19396, 22680, 12468, 44, 53, 1.97, 968354,  X*
5, 9.0, 904832, 24338, 21189, 14108, 5846, 11052, 6772, 2209, 56, 69, 1.98, 990346,  X*
6, 10.0, 509643, 114426, 18873, 61731, 54392, 30806, 6953, 5751, 66, 75, 2.04, 802575,  X*
7, 11.0, 1074065, 127655, 49662, 44142, 40989, 85301, 13153, 7998, 90, 80, 1.96, 1442965,  X*
8, 12.0, 638530, 37420, 27784, 8160, 6662, 8367, 3700, 1043, 87, 80, 2.15, 731666,  X*
9, 13.0, 1261431, 64842, 67658, 67259, 65900, 55532, 19971, 7879, 93, 78, 2.32, 1610472,  X*
10, 14.0, 27906, 15389, 30744, 797, 4876, 6600, 2510, 1809, 84, 93, 2.35, 90631,  X*
11, 15.0, 168460, 26673, 9607, 12996, 8675, 8778, 4651, 2604, 70, 100, 2.22, 242444,  X*
12, 16.0, 511158, 41665, 41658, 10189, 15261, 15121, 6461, 2818, 75, 100, 2.26, 644331,  X*
13, 17.0, 444286, 373758, 59066, 60118, 74420, 41304, 17132, 5506, 53, 84, 2.18, 1075590,  X*
14, 18.0, 697641, 137859, 19064, 78673, 47168, 39463, 22660, 7428, 56, 69, 2.08, 1049956,  X*
15, 19.0, 539574, 55680, 58934, 7057, 5236, 19854, 1843, 2495, 54, 78, 2.35, 690673,  X*
16, 20.0, 734113, 109336, 21166, 16472, 23835, 52845, 14140, 8028, 69, 61, 2.25, 979935,  X*
17, 21.0, 686233, 134047, 45050, 31435, 52340, 11239, 15898, 6940, 61, 66, 2.17, 983182,  X*
18, 22.0, 38090, 21104, 4896, 7533, 5269, 10829, 6978, 2161, 74, 63, 1.93, 96860,  X*
19, 23.0, 35130, 52919, 5396, 12894, 4640, 4349, 2645, 2053, 54, 47, 1.97, 120026,  X*
20, 24.0, 276157, 190936, 9423, 44185, 16964, 46907, 8754, 12511, 43, 47, 1.56, 605837,  X*
21, 25.0, 138642, 68827, 41160, 8334, 16375, 25458, 11919, 6718, 69, 50, 1.61, 317433,  X*
22, 26.0, 677458, 29427, 10766, 18650, 10298, 6439, 4229, 1509, 50, 57, 1.70, 758776,  X*
23, 27.0, 603758, 253083, 18182, 22113, 41699, 40485, 9805, 10658, 64, 47, 1.74, 999783,  X*
24, 28.0, 182084, 29505, 14203, 10702, 4211, 5663, 4164, 3931, 53, 63, 1.70, 254463,  X*
25, 29.0, 639319, 31223, 13607, 5271, 11540, 10377, 3652, 1998, 53, 60, 1.76, 716987,  X*
26, 30.0, 798497, 69267, 20189, 37603, 11896, 28223, 10030, 4068, 66, 57, 1.86, 979773,  X*
27, 31.0, 103385, 121794, 52657, 40586, 16113, 31692, 12832, 4401, 67, 78, 1.88, 383460,  X*
28, 32.0, 107137, 54157, 1572, 7499, 22557, 6003, 3129, 1777, 64, 54, 1.86, 203831,  X*
29, 33.0, 21547, 25679, 5153, 15200, 5604, 5718, 3588, 1360, 54, 57, 1.91, 83849,  X*
30, 34.0, 131786, 10331, 22930, 8383, 5910, 5251, 4018, 2620, 44, 69, 1.97, 191229,  X*
31, 35.0, 953846, 80123, 40112, 7418, 42129, 38694, 16474, 8873, 57, 63, 1.82, 1187669,  X*
32, 36.0, 352171, 95430, 29528, 12688, 51591, 22912, 16706, 5956, 69, 75, 1.62, 586982,  X*
33, 37.0, 1394089, 216641, 35098, 17667, 51498, 67695, 9748, 9603, 81, 57, 1.69, 1802039,  X*
34, 38.0, 104850, 24627, 7916, 8349, 15898, 7599, 3262, 1097, 90, 40, 1.68, 173598,  X*
35, 39.0, 1251021, 461108, 137650, 87508, 52534, 67930, 9917, 7836, 70, 43, 1.97, 2075504,  X*
36, 40.0, 254085, 134381, 15468, 23068, 33347, 30920, 17111, 8143, 75, 40, 1.96, 516523,  X*
37, 41.0, 798828, 146308, 50028, 64530, 27111, 63254, 20269, 7778, 75, 54, 2.10, 1178106,  X*
38, 42.0, 138681, 63798, 280, 7912, 8321, 7430, 4023, 3229, 63, 40, 1.95, 233674,  X*
39, 43.0, 2447725, 448631, 93112, 49046, 38337, 27297, 14909, 6726, 47, 35, 2.07, 3125783,  X*
40, 44.0, 1765343, 382345, 205089, 48420, 57080, 51377, 45376, 18788, 29, 48, 1.74, 2573818,  X*
41, 45.0, 653536, 240118, 33999, 78403, 26796, 15200, 17090, 20871, 1, 47, 1.83, 1086013,  X*
