obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 834890, 984242, 61478, 92115, 65688, 77120, 18566, 39802, NA, NA, 1.64, 2173901,  X*
2, 5.0, 1305856, 288348, 92648, 68367, 66440, 83460, 91142, 10078, NA, NA, 1.52, 2006339,  X*
3, 6.0, 1524642, 122621, 107463, 41396, 76374, 59384, 44304, 80720, NA, NA, 1.37, 2056904,  X*
4, 7.0, 1495605, 76576, 90588, 9158, 28476, 14196, 19820, 8022, 35, 53, 1.46, 1742441,  X*
5, 8.0, 375157, 131845, 84638, 10700, 12208, 8982, 13913, 5612, 16, 63, 1.58, 643055,  X*
6, 9.0, 384121, 75891, 7735, 12660, 11944, 5899, 5162, 3776, 7, 60, 1.55, 507188,  X*
7, 10.0, 1617307, 266906, 44228, 15032, 34991, 12976, 11920, 9132, 1, 56, 1.59, 2012492,  X*
8, 11.0, 519040, 69273, 28810, 4717, 9043, 9080, 13789, 2104, 1, 48, 1.67, 655856,  X*
9, 12.0, 216870, 3360, 17353, 14120, 4336, 8112, 2753, 3891, 24, 61, 1.76, 270795,  X*
10, 13.0, 480586, 43458, 4623, 17470, 6811, 4839, 7317, 2505, 26, 67, 1.65, 567609,  X*
11, 14.0, 1816616, 534826, 142480, 22035, 60810, 39954, 16949, 20579, 34, 74, 1.73, 2654249,  X*
12, 15.0, 1519087, 246589, 128294, 102658, 25488, 35911, 23437, 22288, 29, 80, 1.86, 2103752,  X*
13, 16.0, 1128700, 573005, 39802, 86705, 61837, 28113, 22634, 21867, 1, 53, 1.90, 1962663,  X*
14, 17.0, 154617, 78672, 8133, 101325, 34168, 59034, 35064, 6117, 26, 60, 1.77, 477130,  X*
15, 18.0, 1740404, 356367, 41454, 51015, 48962, 50665, 67285, 20723, 40, 56, 1.69, 2376875,  X*
16, 19.0, 158769, 61176, 13593, 11430, 3578, 17311, 8252, 11535, 61, 44, 1.53, 285644,  X*
17, 20.0, 1276043, 191664, 68757, 100879, 101308, 39870, 32132, 19211, 80, 56, 1.44, 1829864,  X*
18, 21.0, 320161, 76404, 49944, 20446, 28674, 12437, 9007, 6455, 53, 54, 1.53, 523528,  X*
