obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 260462, 144154, 28146, 9725, 9662, 8042, 2215, 4785, NA, NA, 2.29, 467191,  X*
2, 5.0, 1847, 3269, 791, 588, 538, 1275, 468, 592, NA, NA, 1.72, 9368,  X*
3, 6.0, 39126, 16930, 4725, 9684, 5152, 5753, 3836, 2076, NA, NA, 1.66, 87282,  X*
4, 7.0, 1022022, 672680, 111880, 137553, 50439, 148940, 30601, 20861, 47, 37, 1.80, 2194976,  X*
5, 8.0, 408561, 34346, 10480, 4175, 5347, 4222, 2843, 3010, 48, 38, 1.75, 472984,  X*
6, 9.0, 1894551, 657718, 89840, 148710, 60988, 63481, 54852, 43283, 47, 38, 1.60, 3013423,  X*
7, 10.0, 441289, 437823, 34374, 21035, 22064, 25694, 39485, 10272, 40, 20, 1.59, 1032036,  X*
8, 11.0, 486086, 596395, 19654, 68287, 17715, 25571, 14154, 8193, 21, 8, 1.66, 1236055,  X*
9, 12.0, 163126, 83338, 28297, 6429, 9315, 4321, 2631, 3220, 10, 13, 1.68, 300677,  X*
10, 13.0, 1645166, 162461, 21896, 75972, 7348, 17319, 28476, 4032, 10, 27, 1.74, 1962670,  X*
11, 14.0, 646904, 52418, 12724, 1744, 7101, 6276, 3336, 1357, 16, 41, 1.75, 731860,  X*
12, 15.0, 249176, 406537, 6337, 16781, 44937, 29546, 11228, 4195, 23, 37, 1.78, 768737,  X*
13, 16.0, 304435, 214996, 35512, 60648, 20948, 20645, 17974, 4693, 30, 40, 1.83, 679851,  X*
14, 17.0, 384605, 409182, 36320, 26822, 31060, 38895, 16136, 8191, 34, 23, 1.69, 951211,  X*
15, 18.0, 497450, 18844, 9056, 22355, 6429, 14318, 2259, 3289, 47, 53, 1.79, 574000,  X*
16, 19.0, 2149918, 1123666, 265678, 206802, 65228, 100184, 33831, 37734, 44, 83, 1.98, 3983041,  X*
17, 20.0, 379563, 40477, 1854, 10523, 4158, 4518, 3791, 1486, 48, 78, 2.03, 446370,  X*
18, 21.0, 462804, 193460, 31334, 106336, 45182, 25610, 16819, 12490, 48, 97, 2.01, 894035,  X*
19, 22.0, 246562, 30407, 14668, 12090, 3512, 6863, 4195, 1300, 38, 96, 2.15, 319597,  X*
20, 23.0, 492094, 52972, 13286, 3364, 5008, 4736, 3590, 2240, 40, 91, 2.00, 577290,  X*
21, 24.0, 1522757, 292298, 14921, 9555, 9414, 22475, 14031, 16611, 37, 74, 1.67, 1902062,  X*
22, 25.0, 646028, 260878, 46206, 26102, 20907, 55703, 29470, 7280, 44, 60, 1.67, 1092574,  X*
23, 26.0, 476049, 183384, 16703, 34418, 49084, 21937, 15512, 14861, 41, 41, 1.51, 811948,  X*
24, 27.0, 2240246, 322988, 14050, 91709, 152411, 125111, 126256, 90334, 60, 34, 1.18, 3163105,  X*
25, 28.0, 281103, 58932, 3589, 14723, 5353, 3693, 2134, 2194, 54, 51, 1.24, 371721,  X*
26, 29.0, 238685, 84203, 6232, 6305, 3281, 4365, 2263, 4016, 40, 44, 1.35, 349350,  X*
27, 30.0, 375723, 142135, 3566, 6972, 13220, 6746, 3227, 2656, 30, 27, 1.32, 554245,  X*
28, 31.0, 424616, 644400, 82210, 35556, 24518, 12352, 18916, 10220, 1, 29, 1.47, 1252788,  X*
29, 32.0, 633744, 187939, 64523, 15526, 8899, 24127, 14582, 6863, 7, 35, 1.71, 956203,  X*
30, 33.0, 1019594, 179321, 45370, 19666, 8057, 16087, 30603, 6566, 11, 48, 1.60, 1325264,  X*
31, 34.0, 2541580, 1208411, 382401, 154596, 120273, 71439, 42309, 32074, 11, 75, 1.84, 4553083,  X*
32, 35.0, 164259, 48690, 11858, 1659, 6579, 10302, 4539, 2034, 38, 77, 1.84, 249920,  X*
33, 36.0, 84384, 81553, 17262, 3196, 5766, 5378, 2612, 1568, 34, 69, 1.85, 201719,  X*
34, 37.0, 317819, 38771, 8602, 7284, 5412, 3870, 1919, 1266, 35, 70, 1.93, 384943,  X*
35, 38.0, 862039, 183733, 70034, 26159, 21825, 33020, 9490, 6670, 48, 69, 2.13, 1212970,  X*
36, 39.0, 329388, 42453, 8687, 8026, 6577, 5155, 5535, 2040, 40, 77, 1.91, 407861,  X*
37, 40.0, 647863, 198355, 46442, 9585, 28781, 26882, 13060, 14962, 48, 77, 1.91, 985930,  X*
38, 41.0, 982552, 389246, 225455, 89663, 281148, 181248, 74258, 31476, 64, 78, 1.84, 2255046,  X*
39, 42.0, 100739, 56609, 11958, 36242, 9283, 4197, 4737, 1829, 51, 87, 1.93, 225594,  X*
40, 43.0, 728739, 159241, 60821, 9436, 17825, 40334, 19903, 6123, 60, 87, 1.77, 1042422,  X*
41, 44.0, 317566, 125781, 28829, 7714, 1991, 8663, 5384, 1421, 51, 88, 1.92, 497349,  X*
42, 45.0, 348411, 91322, 46361, 4761, 21267, 23950, 12296, 12601, 47, 87, 1.91, 560969,  X*
43, 46.0, 1694288, 129902, 33298, 12930, 52181, 19137, 12911, 10519, 57, 70, 1.84, 1965166,  X*
44, 47.0, 407403, 242509, 6826, 30170, 17739, 17686, 22037, 7630, 47, 57, 1.52, 752000,  X*
45, 48.0, 40394, 28898, 757, 2619, 2128, 1364, 771, 578, 41, 47, 1.51, 77509,  X*
