obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 313949, 55515, 53608, 4840, 20119, 13959, 16256, 10965, NA, NA, 1.30, 489211,  X*
2, 6.0, 327504, 69952, 34067, 6281, 17850, 56020, 27798, 8534, NA, NA, 1.16, 548006,  X*
3, 7.0, 916101, 52290, 9438, 4591, 12601, 7452, 2731, 1965, NA, NA, 1.34, 1007169,  X*
4, 8.0, 1640423, 336948, 12239, 29026, 30299, 27923, 22209, 12932, 30, 30, 1.27, 2111999,  X*
5, 9.0, 52048, 25899, 4623, 7740, 23573, 5823, 1953, 2592, 30, 30, 1.35, 124251,  X*
6, 10.0, 268600, 46621, 56832, 29742, 6625, 34133, 2860, 6608, 37, 48, 1.70, 452021,  X*
7, 11.0, 252839, 272721, 77763, 7945, 29610, 23866, 7436, 11510, 26, 51, 1.87, 683690,  X*
8, 12.0, 583226, 10420, 9206, 9651, 4720, 6118, 6891, 1837, 37, 75, 1.84, 632069,  X*
9, 13.0, 1812940, 246162, 126322, 25490, 18403, 49952, 8437, 6520, 35, 83, 2.22, 2294226,  X*
10, 14.0, 966985, 62138, 41913, 23171, 28703, 30380, 11072, 7148, 35, 77, 2.27, 1171510,  X*
11, 15.0, 542338, 78362, 15532, 32894, 21232, 15051, 3753, 3406, 40, 80, 2.17, 712568,  X*
12, 16.0, 37743, 16444, 3863, 1354, 727, 2194, 312, 508, 34, 67, 2.29, 63145,  X*
13, 17.0, 79880, 60548, 11580, 4192, 9577, 6840, 1029, 872, 29, 57, 2.54, 174518,  X*
14, 18.0, 248464, 81082, 6165, 18070, 15819, 12733, 3445, 811, 23, 48, 2.43, 386589,  X*
15, 19.0, 656179, 67040, 48066, 38582, 50688, 24781, 17021, 9693, 26, 51, 2.42, 912050,  X*
16, 20.0, 819876, 108790, 52555, 13890, 90022, 35746, 19318, 18757, 35, 53, 2.16, 1158954,  X*
17, 21.0, 69726, 6907, 3554, 2296, 943, 1892, 976, 503, 40, 63, 2.06, 86797,  X*
18, 22.0, 177883, 21949, 8682, 6418, 9437, 8943, 2009, 1600, 47, 69, 1.91, 236921,  X*
19, 23.0, 203166, 53035, 15726, 10877, 10814, 4465, 4061, 1740, 35, 64, 1.86, 303884,  X*
20, 24.0, 2935388, 842209, 26770, 98226, 130358, 78040, 73405, 17805, 24, 54, 1.73, 4202201,  X*
21, 25.0, 1357124, 276238, 106378, 2694, 53180, 47129, 18904, 8275, 23, 47, 1.81, 1869922,  X*
22, 26.0, 75245, 57896, 41735, 17736, 7734, 5471, 4503, 1751, 4, 54, 2.03, 212071,  X*
23, 27.0, 84191, 14282, 8055, 7162, 18439, 7127, 4199, 1804, 20, 56, 1.95, 145259,  X*
24, 28.0, 260771, 85023, 19929, 9355, 12200, 7485, 1342, 2469, 17, 66, 2.06, 398574,  X*
25, 29.0, 492382, 23826, 58524, 17617, 17765, 24917, 16844, 4027, 24, 81, 2.21, 655902,  X*
26, 30.0, 470912, 134130, 40109, 43326, 17964, 23986, 9748, 8829, 35, 75, 2.31, 749004,  X*
27, 31.0, 507681, 202454, 34824, 22319, 48482, 23184, 8731, 5874, 24, 66, 2.08, 853549,  X*
28, 32.0, 109901, 54521, 19783, 10531, 13690, 4324, 4978, 1502, 21, 70, 2.20, 219230,  X*
29, 33.0, 354805, 58706, 9878, 10021, 18479, 4792, 2507, 1978, 7, 53, 2.07, 461166,  X*
30, 34.0, 38870, 13516, 3632, 14886, 3864, 5206, 6586, 2098, 11, 60, 1.97, 88658,  X*
31, 35.0, 266957, 24711, 20578, 8054, 5339, 4988, 2197, 1781, 11, 75, 2.07, 334605,  X*
32, 36.0, 2061382, 268692, 22173, 139943, 58681, 43267, 35715, 9083, 17, 75, 2.05, 2638936,  X*
33, 37.0, 395543, 83021, 196367, 109225, 31906, 64495, 12818, 11777, 29, 97, 2.30, 905152,  X*
34, 38.0, 593989, 507943, 35877, 73320, 41537, 37663, 28818, 43311, 17, 81, 2.12, 1362458,  X*
35, 39.0, 61773, 27434, 8352, 1846, 5287, 3869, 1375, 956, 21, 69, 2.23, 110892,  X*
36, 40.0, 885905, 163078, 34013, 8184, 9787, 8878, 8655, 4074, 13, 63, 2.05, 1122574,  X*
37, 41.0, 357855, 223551, 46573, 82717, 58746, 40662, 28744, 33997, 8, 48, 1.97, 872845,  X*
38, 42.0, 265922, 50100, 2792, 6379, 4440, 4233, 3842, 5930, 11, 44, 1.46, 343638,  X*
39, 43.0, 16551, 6561, 2392, 16957, 4747, 4913, 5043, 4471, 17, 61, 1.48, 61635,  X*
40, 44.0, 1517466, 213967, 66113, 57472, 28650, 49741, 14541, 21084, 34, 67, 1.46, 1969034,  X*
41, 45.0, 920969, 303255, 96157, 37170, 13496, 59473, 36733, 39548, 35, 67, 1.37, 1506801,  X*
42, 46.0, 878285, 50326, 8273, 5250, 10619, 7031, 11282, 4170, 38, 69, 1.27, 975236,  X*
43, 47.0, 1157902, 103585, 8055, 33388, 33233, 73979, 38852, 21181, 50, 51, 1.24, 1470175,  X*
44, 48.0, 1301122, 227726, 55237, 9611, 70200, 44913, 38220, 11722, 50, 41, 1.20, 1758751,  X*
45, 49.0, 2472211, 28817, 36511, 17848, 7987, 8707, 10490, 4507, 47, 53, 1.21, 2587078,  X*
46, 50.0, 2404390, 446370, 88204, 44459, 16936, 17138, 18391, 15352, 34, 57, 1.34, 3051240,  X*
47, 51.0, 206490, 46024, 8732, 6544, 9737, 10233, 8317, 3673, 20, 57, 1.38, 299750,  X*
48, 52.0, 2263296, 315903, 126345, 63611, 78271, 146853, 118755, 39579, 26, 64, 1.45, 3152613,  X*
49, 53.0, 414864, 98340, 37296, 12777, 4990, 8134, 6247, 7357, 17, 54, 1.60, 590005,  X*
50, 54.0, 1094306, 28400, 18803, 13934, 3642, 3994, 4634, 7848, 26, 66, 1.54, 1175561,  X*
51, 55.0, 839449, 83572, 56049, 21679, 67481, 38486, 24699, 9923, 30, 74, 1.45, 1141338,  X*
52, 56.0, 1653554, 173820, 36828, 20048, 25300, 35391, 33289, 6882, 24, 69, 1.47, 1985112,  X*
