obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 699166, 159355, 40401, 5289, 5453, 15996, 4128, 7068, NA, NA, 1.85, 936856,  X*
2, 5.0, 122528, 25761, 14922, 2739, 2616, 7487, 3842, 1076, NA, NA, 1.84, 180971,  X*
3, 6.0, 349142, 126301, 56774, 91180, 42704, 45285, 14762, 9232, NA, NA, 2.06, 735380,  X*
4, 7.0, 415187, 47814, 21839, 4833, 5533, 4785, 5459, 3425, 30, 43, 1.95, 508875,  X*
5, 8.0, 504567, 118893, 32644, 10878, 3954, 8226, 5509, 4217, 21, 38, 1.97, 688888,  X*
6, 9.0, 112227, 62549, 58078, 18736, 33592, 14016, 6769, 7330, 21, 51, 2.05, 313297,  X*
7, 10.0, 287880, 26638, 902, 23176, 41668, 65999, 9667, 6958, 44, 35, 1.89, 462888,  X*
8, 11.0, 157020, 74394, 16746, 65334, 34384, 14928, 13134, 12536, 44, 41, 1.73, 388476,  X*
9, 12.0, 668417, 120203, 19494, 24583, 12789, 17721, 19775, 7777, 48, 40, 1.66, 890759,  X*
10, 13.0, 144074, 17422, 3364, 7025, 2805, 8480, 1821, 2049, 54, 26, 1.57, 187040,  X*
11, 14.0, 841925, 91157, 27802, 20368, 27307, 14075, 8366, 2692, 23, 40, 1.55, 1033692,  X*
12, 15.0, 722155, 16428, 3497, 1958, 4736, 5175, 6175, 1066, 35, 16, 1.54, 761190,  X*
13, 16.0, 1540487, 250230, 43015, 32887, 26851, 45919, 4866, 7837, 38, 14, 1.69, 1952092,  X*
14, 17.0, 97633, 9795, 13482, 7132, 9879, 5409, 4354, 816, 30, 34, 1.86, 148500,  X*
15, 18.0, 100790, 20606, 11185, 9869, 4518, 6475, 6307, 3762, 37, 47, 1.82, 163512,  X*
16, 19.0, 79042, 37685, 6430, 30397, 51113, 31699, 26162, 6321, 43, 53, 1.60, 268849,  X*
17, 20.0, 578471, 78713, 27715, 28698, 43822, 21576, 16755, 11618, 43, 61, 1.70, 807368,  X*
18, 21.0, 25473, 116111, 6837, 8918, 9167, 10404, 5675, 1359, 34, 27, 1.53, 183944,  X*
19, 22.0, 566875, 70982, 17971, 17731, 62824, 41328, 6187, 7072, 43, 10, 1.43, 790970,  X*
20, 23.0, 774523, 492261, 64858, 67225, 16612, 46402, 13889, 12150, 24, 10, 1.59, 1487920,  X*
21, 24.0, 1579540, 619680, 18082, 28993, 18733, 19232, 13834, 7017, 8, 1, 1.68, 2305111,  X*
22, 25.0, 342409, 91776, 28789, 22214, 31726, 34738, 18667, 6303, 23, 14, 1.69, 576622,  X*
23, 26.0, 661269, 84780, 35298, 23617, 19026, 19382, 25976, 9017, 13, 30, 1.64, 878365,  X*
24, 27.0, 516539, 87422, 19444, 58848, 30370, 32587, 10118, 4702, 26, 47, 1.77, 760030,  X*
25, 28.0, 23124, 59804, 39773, 30134, 15481, 74739, 4624, 9626, 60, 75, 1.77, 257305,  X*
26, 29.0, 604584, 514178, 64664, 33158, 16765, 34776, 12403, 5102, 43, 64, 1.94, 1285630,  X*
27, 30.0, 3346838, 274682, 61547, 42827, 48160, 20380, 19091, 9669, 34, 57, 2.03, 3823194,  X*
28, 31.0, 148715, 48709, 4410, 9508, 4938, 5102, 7058, 2353, 23, 47, 2.01, 230793,  X*
29, 32.0, 94469, 32912, 21955, 34027, 32792, 25550, 18346, 7704, 14, 51, 1.86, 267755,  X*
30, 33.0, 164540, 112486, 33144, 25684, 22473, 39379, 7695, 4257, 29, 63, 1.86, 409658,  X*
31, 34.0, 205811, 104540, 11436, 13255, 7534, 4172, 2334, 1996, 26, 57, 1.86, 351078,  X*
32, 35.0, 1210694, 289779, 54638, 6432, 80477, 16456, 19831, 4233, 21, 53, 1.78, 1682540,  X*
33, 36.0, 58149, 42089, 4276, 4745, 4268, 5187, 1919, 1008, 10, 35, 1.88, 121641,  X*
34, 37.0, 150150, 21890, 14823, 8300, 8944, 5726, 2559, 1664, 4, 43, 2.05, 214056,  X*
35, 38.0, 164185, 33150, 4081, 8011, 20210, 3410, 2276, 778, 13, 43, 2.01, 236101,  X*
36, 39.0, 1351561, 107189, 14383, 12244, 18824, 32955, 10228, 5976, 29, 44, 1.79, 1553360,  X*
37, 40.0, 72983, 84812, 11602, 33188, 35644, 19848, 24904, 11109, 35, 53, 1.71, 294090,  X*
38, 41.0, 250933, 43955, 4686, 9334, 1307, 8765, 5265, 3458, 35, 38, 1.60, 327703,  X*
39, 42.0, 46576, 5697, 997, 1992, 3698, 2113, 1212, 470, 48, 40, 1.41, 62755,  X*
40, 43.0, 304935, 58752, 27476, 9984, 14620, 3911, 6824, 9227, 29, 56, 1.30, 435729,  X*
41, 44.0, 1084067, 139410, 40736, 22811, 21816, 22468, 13928, 5747, 26, 57, 1.40, 1350983,  X*
42, 45.0, 138254, 143908, 6500, 5002, 4197, 7446, 2884, 2959, 13, 40, 1.46, 311150,  X*
43, 46.0, 75934, 97375, 12941, 10890, 11237, 9184, 3672, 1428, 1, 37, 1.65, 222661,  X*
44, 47.0, 995387, 41015, 7308, 20716, 4863, 14082, 2336, 1741, 16, 35, 1.89, 1087448,  X*
45, 48.0, 599241, 250179, 83049, 25482, 34070, 31583, 14724, 6307, 14, 35, 2.04, 1044635,  X*
46, 49.0, 1285638, 25407, 49666, 20248, 5658, 42427, 9137, 5920, 40, 75, 2.10, 1444101,  X*
47, 50.0, 651459, 11961, 7819, 7090, 6536, 3058, 2062, 1873, 43, 93, 2.21, 691858,  X*
48, 51.0, 238125, 205154, 40746, 23245, 28061, 30546, 9273, 9979, 37, 83, 2.13, 585129,  X*
49, 52.0, 231931, 37976, 33284, 23304, 11321, 26798, 3041, 10320, 50, 93, 2.05, 377975,  X*
50, 53.0, 177192, 38239, 59930, 24864, 18344, 22318, 8217, 5806, 38, 94, 2.08, 354910,  X*
51, 54.0, 1392396, 46435, 23273, 39045, 38460, 39018, 7777, 8102, 51, 90, 2.05, 1594506,  X*
52, 55.0, 552212, 60931, 45842, 68711, 45665, 9776, 7177, 5983, 44, 100, 2.25, 796297,  X*
53, 56.0, 151703, 46796, 9399, 1145, 9288, 7171, 3984, 2108, 37, 88, 2.13, 231594,  X*
54, 57.0, 3327806, 326691, 11331, 59120, 26716, 22909, 19533, 11677, 24, 63, 1.99, 3805783,  X*
55, 58.0, 939358, 99235, 39763, 41397, 13240, 40089, 6357, 10246, 20, 63, 1.95, 1189685,  X*
56, 59.0, 1252825, 151507, 46312, 28132, 24733, 29700, 27577, 8030, 27, 50, 1.85, 1568816,  X*
57, 60.0, 52573, 36439, 5778, 5486, 13267, 12831, 5068, 1354, 37, 51, 1.54, 132796,  X*
58, 61.0, 877293, 34881, 3695, 2082, 6562, 6282, 3069, 1479, 48, 44, 1.53, 935343,  X*
59, 62.0, 269281, 88152, 25910, 136860, 37174, 38475, 12677, 11444, 43, 54, 1.73, 619973,  X*
60, 63.0, 62316, 6457, 1154, 4447, 2284, 1714, 992, 417, 44, 57, 1.68, 79781,  X*
61, 64.0, 171048, 69675, 10885, 84205, 45708, 19989, 13671, 6126, 35, 78, 1.78, 421307,  X*
62, 65.0, 47818, 38044, 25946, 23133, 29618, 12640, 5053, 8852, 35, 100, 1.88, 191104,  X*
63, 66.0, 97938, 7942, 33531, 2972, 1419, 6079, 3852, 1738, 34, 100, 2.11, 155471,  X*
64, 67.0, 406025, 112239, 10748, 22475, 10952, 21986, 16334, 10373, 34, 90, 1.85, 611132,  X*
65, 68.0, 250993, 51749, 38391, 32844, 5802, 16728, 21457, 7800, 35, 87, 1.78, 425764,  X*
66, 69.0, 110415, 35462, 5573, 3233, 5693, 3005, 2948, 1167, 26, 67, 1.68, 167496,  X*
67, 70.0, 120163, 10429, 5161, 6828, 15673, 4577, 1319, 1087, 30, 47, 1.74, 165237,  X*
68, 71.0, 802960, 74607, 67731, 17007, 5556, 33035, 31781, 3559, 37, 60, 1.61, 1036236,  X*
69, 72.0, 587733, 15515, 2377, 11836, 3455, 7489, 3305, 1596, 43, 54, 1.72, 633306,  X*
70, 73.0, 201880, 205011, 44149, 8144, 18432, 26046, 9745, 5258, 47, 53, 1.75, 518665,  X*
71, 74.0, 399017, 25942, 25016, 14690, 28111, 24082, 9976, 5492, 51, 56, 1.77, 532326,  X*
72, 75.0, 212616, 185120, 48980, 23963, 31656, 29846, 9112, 6606, 43, 43, 1.75, 547899,  X*
73, 76.0, 308355, 33735, 10908, 9336, 3007, 3951, 4210, 4351, 29, 43, 1.73, 377853,  X*
74, 77.0, 572078, 92880, 38680, 40448, 31026, 13133, 13783, 3172, 27, 54, 1.86, 805200,  X*
75, 78.0, 122599, 28758, 1352, 10293, 13878, 5351, 3759, 1815, 17, 47, 1.78, 187805,  X*
76, 79.0, 366219, 49806, 32240, 5653, 55347, 48494, 10535, 3140, 35, 44, 1.78, 571434,  X*
77, 80.0, 402416, 161752, 22491, 4351, 26204, 26493, 12253, 7243, 41, 27, 1.57, 663203,  X*
78, 81.0, 79115, 18650, 7062, 7267, 8305, 6392, 1398, 3623, 51, 24, 1.61, 131812,  X*
79, 82.0, 1340684, 249364, 52885, 53907, 53982, 25020, 6612, 9571, 44, 27, 1.67, 1792025,  X*
80, 83.0, 389536, 78556, 20800, 22514, 30904, 56710, 12577, 11510, 43, 27, 1.67, 623107,  X*
81, 84.0, 1201489, 58068, 36341, 8420, 27846, 50225, 14393, 15190, 56, 38, 1.58, 1411972,  X*
82, 85.0, 115519, 38329, 4564, 9282, 19968, 10304, 2420, 2907, 60, 29, 1.68, 203293,  X*
83, 86.0, 697729, 47701, 5325, 53247, 36629, 22301, 15713, 5058, 69, 37, 1.64, 883703,  X*
84, 87.0, 27861, 22315, 10479, 7768, 2843, 8695, 3517, 2566, 63, 44, 1.47, 86044,  X*
85, 88.0, 371885, 20888, 4410, 4178, 14109, 8548, 5036, 2170, 56, 40, 1.43, 431224,  X*
86, 89.0, 89392, 16324, 1699, 2810, 396, 2104, 794, 382, 50, 43, 1.59, 113901,  X*
87, 90.0, 974269, 239741, 21896, 9164, 28774, 37398, 14019, 10596, 44, 23, 1.49, 1335857,  X*
88, 91.0, 181748, 99918, 13123, 2463, 68217, 13422, 8172, 6077, 37, 1, 1.38, 393140,  X*
89, 92.0, 237691, 159602, 17003, 92907, 23779, 34561, 13672, 9873, 27, 11, 1.44, 589088,  X*
90, 93.0, 525321, 124313, 60720, 11669, 30153, 9773, 7490, 3082, 17, 20, 1.71, 772521,  X*
91, 94.0, 202834, 58890, 3881, 2502, 9849, 4149, 2449, 1496, 11, 16, 1.57, 286050,  X*
92, 95.0, 133984, 53911, 10301, 3795, 1417, 6624, 1032, 3803, 8, 27, 1.70, 214867,  X*
93, 96.0, 324321, 99182, 49172, 32331, 30176, 20253, 16335, 10155, 7, 27, 1.86, 581925,  X*
94, 97.0, 1318811, 161604, 53723, 43099, 48155, 50042, 6114, 11238, 21, 24, 1.93, 1692786,  X*
95, 98.0, 768683, 32055, 9090, 17354, 10753, 6137, 3198, 2372, 26, 48, 1.86, 849642,  X*
96, 99.0, 243686, 137681, 28687, 72425, 70996, 42110, 11110, 11406, 34, 54, 2.02, 618101,  X*
97, 100.0, 1196835, 176490, 8939, 44703, 38719, 48895, 12956, 9311, 40, 43, 1.96, 1536848,  X*
98, 101.0, 233519, 18059, 16695, 20757, 13760, 6734, 4964, 1793, 35, 56, 2.10, 316281,  X*
99, 102.0, 10874, 11626, 8511, 6930, 2419, 6392, 5001, 2442, 44, 61, 1.91, 54195,  X*
100, 103.0, 99230, 33917, 10628, 2288, 5568, 5480, 3349, 1915, 40, 57, 1.78, 162375,  X*
101, 104.0, 53142, 129280, 26816, 38589, 27608, 12616, 8558, 12343, 27, 66, 1.72, 308952,  X*
102, 105.0, 1553096, 234109, 62725, 37535, 30510, 56498, 16651, 10753, 30, 53, 1.81, 2001877,  X*
103, 106.0, 319910, 109913, 24121, 6073, 20322, 26037, 17664, 7004, 27, 35, 1.54, 531044,  X*
104, 107.0, 475980, 32591, 69079, 25442, 23778, 25524, 9606, 9982, 35, 51, 1.67, 671982,  X*
105, 108.0, 583354, 20075, 5388, 5344, 11455, 9548, 2303, 1123, 50, 47, 1.74, 638590,  X*
106, 109.0, 17886, 18999, 10858, 9328, 5020, 6857, 3392, 1998, 51, 53, 1.77, 74338,  X*
107, 110.0, 11722, 11110, 7783, 18076, 9010, 8483, 2430, 1563, 54, 74, 1.89, 70177,  X*
108, 111.0, 284938, 96249, 4413, 20405, 16985, 4822, 3326, 3754, 37, 51, 2.03, 434892,  X*
109, 112.0, 1614629, 297926, 29415, 51729, 28586, 39159, 20520, 9781, 26, 50, 1.93, 2091745,  X*
110, 113.0, 408341, 160422, 3160, 7024, 11915, 22087, 3815, 6904, 21, 23, 1.77, 623668,  X*
111, 114.0, 309711, 31888, 13871, 5981, 13860, 7399, 3776, 3318, 17, 14, 1.70, 389804,  X*
112, 115.0, 991306, 120130, 19868, 15281, 10231, 16486, 14937, 3519, 27, 20, 1.49, 1191758,  X*
113, 116.0, 1344338, 81777, 4522, 42010, 16276, 21255, 7278, 6735, 34, 27, 1.47, 1524191,  X*
114, 117.0, 2342457, 141036, 33615, 11874, 25171, 34640, 12863, 11743, 38, 44, 1.40, 2613399,  X*
115, 118.0, 979924, 93947, 16723, 15331, 9459, 36924, 12723, 11650, 47, 40, 1.44, 1176681,  X*
116, 119.0, 188388, 109145, 11996, 28212, 27410, 19880, 11767, 4290, 47, 40, 1.43, 401088,  X*
117, 120.0, 117997, 10018, 1070, 5463, 3432, 11349, 2712, 1499, 61, 35, 1.37, 153540,  X*
118, 121.0, 845643, 78326, 35208, 41855, 38230, 29057, 6388, 6995, 61, 44, 1.53, 1081702,  X*
119, 122.0, 596258, 28284, 5084, 9622, 7157, 4661, 2834, 2020, 51, 50, 1.61, 655920,  X*
120, 123.0, 69654, 3387, 10230, 1973, 9902, 6820, 2480, 1787, 64, 60, 1.69, 106233,  X*
121, 124.0, 1042226, 27098, 57010, 23817, 41685, 44962, 5024, 4087, 60, 70, 1.96, 1245909,  X*
122, 125.0, 115526, 38524, 12347, 24306, 15856, 23833, 6855, 7183, 63, 69, 2.04, 244430,  X*
123, 126.0, 849743, 262131, 16050, 28065, 24431, 50501, 13863, 8325, 67, 56, 1.84, 1253109,  X*
124, 127.0, 1016920, 62408, 14984, 6550, 21010, 29655, 10577, 7232, 64, 44, 1.72, 1169336,  X*
125, 128.0, 32193, 16232, 5365, 10423, 9446, 13653, 6034, 2707, 66, 38, 1.67, 96053,  X*
126, 129.0, 236032, 95751, 41857, 18090, 31803, 20478, 14197, 5062, 56, 37, 1.44, 463270,  X*
127, 130.0, 58032, 6407, 4318, 3711, 1398, 1369, 902, 562, 50, 60, 1.60, 76699,  X*
128, 131.0, 1201487, 126914, 103918, 51685, 15507, 65612, 12644, 3496, 47, 75, 1.96, 1581263,  X*
129, 132.0, 116322, 55209, 8596, 17125, 2248, 10569, 2682, 2206, 34, 74, 2.19, 214957,  X*
130, 133.0, 1463029, 75658, 13769, 26303, 41653, 27842, 14095, 6361, 40, 69, 2.20, 1668710,  X*
131, 134.0, 129339, 8790, 8689, 6700, 4915, 6887, 3200, 2582, 53, 66, 2.17, 171102,  X*
132, 135.0, 794011, 19924, 894, 9707, 6231, 15804, 4267, 991, 63, 54, 1.97, 851829,  X*
133, 136.0, 341875, 34887, 6267, 5051, 5911, 5490, 2361, 1204, 61, 50, 1.69, 403046,  X*
134, 137.0, 59757, 19050, 1518, 2299, 1819, 1992, 864, 854, 50, 43, 1.53, 88153,  X*
135, 138.0, 148869, 4180, 1869, 1088, 1910, 1235, 1674, 862, 44, 37, 1.47, 161687,  X*
136, 139.0, 212537, 157589, 51680, 25515, 13831, 44115, 7820, 9302, 30, 40, 1.56, 522389,  X*
137, 140.0, 988224, 130302, 55940, 37000, 127048, 119354, 40218, 22188, 50, 40, 1.54, 1520274,  X*
138, 141.0, 233528, 88713, 4290, 2128, 6392, 17296, 2760, 3944, 57, 27, 1.37, 359051,  X*
139, 142.0, 843635, 36664, 49534, 14434, 21053, 27800, 12675, 9316, 63, 37, 1.40, 1015111,  X*
140, 143.0, 2380590, 162687, 78350, 31267, 8360, 19994, 27604, 16951, 53, 41, 1.49, 2725803,  X*
141, 144.0, 455956, 144657, 11807, 26269, 36995, 24839, 12554, 6061, 37, 40, 1.36, 719138,  X*
142, 145.0, 2675636, 143137, 20372, 58025, 18779, 20363, 7789, 12006, 27, 61, 1.50, 2956107,  X*
143, 146.0, 387840, 70842, 47337, 14747, 21036, 12437, 3567, 4451, 16, 60, 1.85, 562257,  X*
144, 147.0, 343637, 45991, 4816, 9775, 7081, 8278, 3395, 852, 24, 50, 1.90, 423825,  X*
145, 148.0, 7546, 2223, 13193, 13743, 16760, 6622, 3628, 2103, 29, 69, 2.03, 65818,  X*
