obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 41418, 6021, 1360, 984, 2841, 1973, 752, 976, NA, NA, 1.16, 56325,  X*
2, 6.0, 479649, 14017, 4804, 26540, 7328, 5626, 5557, 2989, NA, NA, 1.48, 546510,  X*
3, 7.0, 228894, 35779, 12874, 2978, 5229, 8871, 4778, 1179, NA, NA, 1.53, 300582,  X*
4, 8.0, 772218, 193803, 50781, 57996, 81730, 106128, 17841, 8712, 51, 35, 1.66, 1289209,  X*
5, 9.0, 1773987, 264754, 14049, 95479, 23827, 35064, 39406, 9832, 40, 30, 1.62, 2256398,  X*
6, 10.0, 818429, 26901, 18958, 6810, 2775, 2477, 2702, 1345, 21, 40, 1.88, 880397,  X*
7, 11.0, 1721822, 36627, 8539, 10611, 28939, 30664, 11396, 10351, 44, 30, 1.71, 1858949,  X*
8, 12.0, 196751, 14191, 10467, 3620, 4457, 7705, 1354, 883, 44, 38, 1.87, 239428,  X*
9, 13.0, 884865, 573189, 19466, 55151, 43764, 40944, 12986, 9146, 43, 23, 1.82, 1639511,  X*
10, 14.0, 351090, 19157, 12559, 11631, 2094, 5610, 3012, 1738, 60, 24, 1.99, 406891,  X*
11, 15.0, 553472, 98949, 51360, 7471, 29452, 13100, 4666, 2897, 26, 35, 2.00, 761367,  X*
12, 16.0, 137855, 28813, 12648, 20059, 4788, 7171, 4387, 2099, 10, 40, 2.27, 217820,  X*
13, 17.0, 183203, 26338, 6367, 701, 4146, 10698, 5060, 3018, 37, 44, 1.95, 239531,  X*
14, 18.0, 1662450, 326572, 22223, 47568, 33116, 25878, 17418, 6745, 24, 24, 1.93, 2141970,  X*
15, 19.0, 1453466, 67334, 7870, 74396, 43728, 37244, 16255, 40686, 43, 27, 1.70, 1740979,  X*
16, 20.0, 333506, 50409, 9201, 5761, 12814, 10461, 4034, 1781, 50, 10, 1.51, 427967,  X*
17, 21.0, 309374, 63282, 29228, 85085, 43704, 145902, 22975, 5998, 60, 23, 1.46, 705548,  X*
18, 22.0, 427807, 74673, 12803, 4856, 7896, 9889, 3433, 2080, 67, 23, 1.64, 543437,  X*
19, 23.0, 238978, 52751, 78952, 55446, 28538, 66781, 7195, 9906, 70, 29, 1.86, 538547,  X*
20, 24.0, 256973, 97102, 8385, 8402, 4602, 15702, 4563, 2156, 66, 24, 1.96, 397885,  X*
21, 25.0, 236304, 77170, 5380, 16663, 24825, 17941, 3187, 2248, 44, 13, 2.03, 383718,  X*
22, 26.0, 200642, 148533, 151101, 36990, 62952, 31359, 14250, 5322, 43, 30, 2.23, 651149,  X*
23, 27.0, 222824, 103882, 9936, 92074, 20727, 34776, 10368, 11187, 30, 27, 2.26, 505774,  X*
24, 28.0, 118830, 62640, 14130, 14409, 14537, 9038, 4547, 1108, 24, 38, 2.18, 239239,  X*
25, 29.0, 68486, 9126, 1598, 2244, 2937, 1415, 522, 618, 17, 44, 2.22, 86946,  X*
26, 30.0, 606138, 291404, 39506, 32610, 45857, 35439, 29107, 4619, 17, 26, 2.15, 1084680,  X*
27, 31.0, 163807, 14354, 3505, 1087, 3589, 1983, 299, 566, 11, 13, 2.00, 189190,  X*
28, 32.0, 586817, 62250, 35463, 74871, 29347, 34279, 7066, 6334, 23, 24, 2.17, 836427,  X*
29, 33.0, 48886, 13395, 11437, 11372, 9100, 11195, 4469, 1353, 37, 37, 2.11, 111207,  X*
30, 34.0, 731920, 327083, 58219, 16168, 56176, 59185, 26256, 5116, 43, 35, 2.06, 1280123,  X*
31, 35.0, 845791, 212569, 19316, 41196, 14529, 25758, 14993, 11431, 40, 35, 2.04, 1185583,  X*
32, 36.0, 353418, 77362, 2012, 4544, 7902, 12151, 2474, 2623, 34, 7, 1.81, 462486,  X*
33, 37.0, 586559, 64888, 18934, 40764, 46438, 24178, 9857, 6665, 26, 3, 1.62, 798283,  X*
34, 38.0, 331632, 138874, 11013, 7927, 6264, 20627, 7498, 3183, 24, 3, 1.48, 527018,  X*
35, 39.0, 463111, 189913, 83212, 33172, 15542, 45841, 13380, 6563, 34, 14, 1.65, 850734,  X*
36, 40.0, 573689, 144340, 45848, 87559, 35199, 50485, 8131, 4250, 37, 38, 2.00, 949501,  X*
37, 41.0, 129099, 35197, 6067, 14474, 12779, 6717, 3986, 954, 30, 38, 2.20, 209273,  X*
38, 42.0, 2132526, 93671, 20294, 3727, 20683, 34547, 4786, 10194, 43, 40, 2.07, 2320428,  X*
39, 43.0, 620822, 123897, 74919, 77927, 84089, 74067, 12039, 6272, 51, 43, 2.38, 1074032,  X*
40, 44.0, 126180, 50134, 21725, 1997, 4145, 5757, 6394, 3015, 40, 38, 2.19, 219347,  X*
41, 45.0, 1013562, 478772, 61029, 33698, 162477, 58216, 9349, 17766, 37, 26, 1.91, 1834869,  X*
42, 46.0, 290958, 28598, 5935, 19780, 11021, 8552, 6928, 4269, 27, 41, 1.78, 376041,  X*
43, 47.0, 761481, 84657, 19175, 31141, 6922, 10259, 4367, 4423, 8, 40, 2.01, 922425,  X*
44, 48.0, 719247, 151445, 9951, 35580, 16169, 20214, 3431, 7015, 11, 35, 1.83, 963052,  X*
45, 49.0, 1170807, 135482, 30253, 6633, 38848, 10871, 19469, 7700, 4, 40, 1.77, 1420063,  X*
46, 51.0, 860141, 245860, 62839, 53590, 77702, 30281, 21532, 15309, 1, 35, 1.75, 1367254,  X*
47, 52.0, 854472, 58121, 5252, 27828, 13522, 12719, 4760, 3494, 3, 34, 1.84, 980168,  X*
48, 53.0, 580811, 108109, 6931, 3916, 9030, 8599, 4108, 6156, 1, 20, 1.56, 727660,  X*
49, 54.0, 526784, 60984, 9848, 7537, 19011, 9406, 9132, 6240, 10, 20, 1.37, 648942,  X*
50, 55.0, 405303, 108061, 7870, 39674, 24498, 45028, 22433, 8067, 27, 16, 1.39, 660934,  X*
51, 56.0, 764141, 37595, 195067, 21429, 17201, 36664, 35791, 23502, 27, 37, 1.38, 1131390,  X*
52, 57.0, 1184912, 58495, 8984, 11668, 15973, 17235, 8861, 5373, 44, 48, 1.24, 1311501,  X*
53, 58.0, 394897, 311421, 173927, 60504, 67733, 94461, 30467, 10560, 48, 57, 1.52, 1143970,  X*
54, 59.0, 301892, 20589, 17697, 8153, 15184, 9879, 5050, 4877, 44, 66, 1.62, 383321,  X*
55, 60.0, 304658, 180822, 68140, 17177, 43426, 34508, 16899, 22124, 43, 43, 1.66, 687754,  X*
56, 61.0, 361569, 64936, 17634, 26010, 14378, 16858, 3719, 2017, 38, 51, 1.87, 507121,  X*
57, 62.0, 57662, 87987, 15850, 12019, 10852, 7404, 3775, 3270, 23, 44, 2.03, 198819,  X*
58, 63.0, 506173, 9799, 3705, 2971, 2647, 1453, 2527, 493, 10, 43, 1.87, 529768,  X*
59, 64.0, 1791937, 165566, 26869, 32263, 20013, 60867, 24737, 5153, 21, 40, 1.85, 2127405,  X*
60, 65.0, 153524, 103181, 15109, 42409, 15616, 9731, 5014, 3302, 7, 40, 2.08, 347886,  X*
61, 66.0, 114454, 21363, 9875, 2295, 6324, 2470, 1643, 1235, 8, 43, 1.92, 159659,  X*
62, 67.0, 12688, 13175, 3305, 7430, 4955, 3728, 1833, 1882, 17, 43, 1.85, 48996,  X*
63, 68.0, 2675130, 312446, 22446, 53328, 66189, 67129, 28453, 20197, 13, 40, 1.78, 3245318,  X*
64, 69.0, 381042, 37003, 16889, 9831, 12419, 5813, 4666, 6509, 17, 41, 1.79, 474172,  X*
65, 70.0, 359327, 25069, 31457, 17825, 30146, 16040, 6369, 5300, 35, 48, 1.68, 491533,  X*
66, 71.0, 968096, 446398, 87920, 66122, 80766, 36619, 14696, 11873, 20, 41, 1.77, 1712490,  X*
67, 72.0, 145179, 79390, 35623, 20529, 17056, 9744, 5946, 6037, 4, 54, 1.87, 319504,  X*
68, 73.0, 611974, 77102, 63738, 8596, 8615, 15613, 6011, 7362, 7, 57, 2.05, 799011,  X*
69, 74.0, 3630259, 886822, 177855, 96643, 33762, 60533, 38450, 27577, 1, 48, 2.14, 4951901,  X*
70, 75.0, 271377, 59697, 3750, 806, 11696, 5513, 2718, 783, 1, 34, 1.96, 356340,  X*
71, 76.0, 1694893, 229965, 55760, 21852, 23753, 33096, 28318, 20347, 1, 26, 1.73, 2107984,  X*
72, 77.0, 2192687, 130182, 45675, 94602, 42326, 45656, 23165, 25027, 4, 24, 1.63, 2599320,  X*
73, 78.0, 117479, 61761, 32704, 34424, 17838, 13496, 6165, 3276, 16, 37, 1.75, 287143,  X*
74, 79.0, 775230, 172725, 30737, 37834, 6221, 32356, 23292, 6875, 23, 56, 1.66, 1085270,  X*
75, 80.0, 3333604, 509831, 141845, 33575, 66474, 48808, 20111, 11955, 16, 56, 1.88, 4166203,  X*
76, 81.0, 941503, 217613, 148758, 112893, 80980, 46354, 53435, 78936, 8, 57, 1.92, 1680472,  X*
77, 82.0, 495591, 11140, 8613, 4034, 2212, 4579, 3366, 4926, 17, 57, 1.83, 534461,  X*
78, 83.0, 414097, 71935, 45992, 20875, 30208, 23328, 12989, 7839, 20, 63, 1.64, 627263,  X*
79, 84.0, 872675, 222017, 40202, 9735, 19729, 15033, 6637, 3140, 16, 57, 1.76, 1189168,  X*
80, 85.0, 566194, 492770, 85916, 39199, 49267, 52548, 17720, 19327, 13, 44, 1.68, 1322941,  X*
81, 86.0, 538578, 33236, 2570, 1292, 1797, 3934, 2311, 1514, 4, 23, 1.59, 585232,  X*
82, 87.0, 511273, 168621, 20717, 6556, 7859, 10916, 10869, 7473, 1, 10, 1.59, 744284,  X*
