obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 714676, 316651, 65397, 45132, 16194, 59796, 20057, 11256, NA, NA, 1.89, 1249159,  X*
2, 6.0, 281922, 29544, 17541, 16660, 7692, 10809, 7439, 2861, NA, NA, 1.88, 374468,  X*
3, 7.0, 1415034, 231432, 48877, 107170, 33760, 25434, 7972, 4137, NA, NA, 2.44, 1873816,  X*
4, 8.0, 672352, 183010, 64624, 28584, 36189, 78782, 11510, 12803, 51, 30, 2.31, 1087854,  X*
5, 9.0, 78424, 83170, 11826, 67336, 34601, 21069, 8206, 10556, 54, 38, 2.23, 315188,  X*
6, 10.0, 653121, 41170, 6078, 2708, 4753, 16790, 2916, 2371, 70, 20, 2.11, 729907,  X*
7, 11.0, 115969, 78756, 40494, 34377, 29666, 40532, 5241, 7443, 83, 26, 2.22, 352478,  X*
8, 12.0, 549556, 133026, 57948, 31063, 24365, 55367, 13790, 12320, 81, 40, 1.87, 877435,  X*
9, 13.0, 1557208, 323339, 81661, 30732, 41094, 41908, 12233, 4220, 75, 27, 2.01, 2092395,  X*
10, 14.0, 81950, 34814, 8731, 3831, 9296, 5165, 3864, 2547, 57, 40, 1.91, 150198,  X*
11, 15.0, 859061, 283274, 242642, 60860, 128259, 30006, 11145, 6918, 35, 47, 2.44, 1622165,  X*
12, 16.0, 169140, 43455, 14160, 16165, 15948, 8979, 1933, 2525, 23, 47, 2.47, 272305,  X*
13, 17.0, 1051999, 195530, 112682, 34472, 56420, 31233, 6746, 4831, 23, 60, 2.79, 1493913,  X*
14, 18.0, 120154, 47445, 35322, 6233, 9223, 8680, 1833, 3281, 21, 78, 2.80, 232171,  X*
15, 19.0, 1773720, 54862, 37661, 3661, 10899, 47782, 13230, 11665, 56, 66, 2.76, 1953480,  X*
16, 20.0, 366225, 70033, 115755, 29215, 41034, 42225, 13585, 5795, 63, 81, 2.50, 683867,  X*
17, 21.0, 86736, 37774, 3573, 10323, 5028, 15125, 2267, 1548, 81, 66, 2.35, 162374,  X*
18, 22.0, 56317, 5591, 2444, 2943, 1890, 1950, 1196, 577, 90, 63, 2.02, 72908,  X*
19, 23.0, 45228, 21263, 13288, 5250, 3310, 8915, 6145, 1209, 78, 69, 1.82, 104608,  X*
20, 24.0, 707945, 189903, 36801, 16277, 18798, 71541, 6618, 8310, 84, 37, 1.96, 1056193,  X*
21, 25.0, 241288, 145198, 48049, 11530, 29665, 30331, 12077, 7048, 75, 41, 1.76, 525186,  X*
22, 26.0, 50432, 35318, 14415, 3990, 2929, 6076, 1613, 1219, 64, 37, 1.88, 115992,  X*
23, 27.0, 90573, 11367, 4511, 2185, 2345, 1980, 792, 446, 54, 30, 1.99, 114199,  X*
24, 28.0, 1328446, 174212, 24277, 29118, 27915, 32979, 13764, 17544, 47, 37, 1.92, 1648255,  X*
25, 29.0, 72897, 165361, 23868, 8843, 19712, 8996, 2725, 2436, 27, 26, 2.04, 304838,  X*
26, 30.0, 70210, 26932, 6635, 3580, 2441, 13315, 1546, 1649, 47, 14, 2.05, 126308,  X*
27, 31.0, 521750, 127369, 58810, 36331, 30603, 33969, 15359, 19623, 51, 17, 1.89, 843814,  X*
28, 32.0, 1610531, 72117, 88094, 27702, 18770, 28210, 12883, 6992, 50, 47, 1.90, 1865299,  X*
29, 33.0, 1368966, 91086, 8190, 44563, 20453, 15747, 25097, 21326, 64, 63, 1.84, 1595428,  X*
30, 34.0, 52121, 43351, 18565, 9834, 18446, 11212, 2903, 5618, 51, 74, 1.72, 162050,  X*
31, 35.0, 228716, 149380, 34970, 56340, 49390, 22269, 13177, 16510, 41, 69, 1.71, 570752,  X*
32, 36.0, 106419, 80580, 27108, 31187, 39552, 16432, 29090, 5702, 40, 53, 1.66, 336070,  X*
33, 37.0, 82269, 30929, 2526, 9984, 6697, 4180, 3833, 2595, 38, 47, 1.46, 143013,  X*
34, 38.0, 160190, 12378, 6139, 2503, 2565, 3564, 988, 762, 40, 50, 1.69, 189089,  X*
35, 39.0, 1462046, 290597, 82801, 18389, 32752, 37387, 17781, 8597, 41, 41, 1.70, 1950350,  X*
36, 40.0, 145844, 10581, 4445, 2343, 1639, 4461, 489, 522, 51, 40, 1.86, 170324,  X*
37, 41.0, 296531, 55893, 10826, 7349, 5074, 8767, 4060, 1764, 53, 37, 1.95, 390264,  X*
38, 42.0, 760704, 54343, 10000, 16740, 15813, 25812, 13914, 26849, 63, 27, 1.84, 924175,  X*
39, 43.0, 407719, 18448, 4599, 10980, 5147, 9098, 3881, 2657, 77, 40, 1.71, 462529,  X*
40, 44.0, 560752, 38699, 20457, 32413, 18083, 32973, 12275, 5962, 83, 48, 1.68, 721614,  X*
41, 45.0, 125933, 54724, 15027, 32767, 4788, 8290, 4880, 2760, 80, 67, 1.66, 249169,  X*
42, 46.0, 45213, 57102, 15967, 3767, 7472, 8138, 1054, 3231, 63, 66, 1.73, 141944,  X*
43, 47.0, 207589, 108995, 13230, 115320, 35324, 22656, 12587, 4855, 48, 75, 2.06, 520556,  X*
44, 48.0, 551632, 23838, 6296, 14024, 23131, 14417, 2157, 4438, 47, 63, 2.11, 639933,  X*
45, 49.0, 178926, 130066, 6264, 12081, 7832, 9350, 3140, 1367, 41, 30, 2.17, 349026,  X*
46, 50.0, 137261, 21285, 1131, 1777, 964, 3370, 1007, 1288, 47, 17, 1.90, 168083,  X*
47, 51.0, 469112, 201829, 28982, 83622, 43256, 43712, 12366, 12344, 53, 4, 1.89, 895223,  X*
48, 52.0, 362975, 29732, 9171, 5334, 6260, 11209, 4251, 2644, 47, 7, 1.68, 431576,  X*
49, 53.0, 806724, 77373, 17528, 30046, 23354, 33317, 21295, 3489, 69, 26, 1.63, 1013126,  X*
50, 54.0, 110863, 24817, 6757, 2750, 15098, 9065, 1858, 3179, 77, 37, 1.50, 174387,  X*
51, 55.0, 455577, 54305, 70925, 43814, 43486, 25221, 14141, 9215, 78, 53, 1.71, 716684,  X*
52, 56.0, 78964, 17357, 3995, 3456, 2352, 1051, 689, 454, 53, 54, 1.81, 108318,  X*
53, 57.0, 57066, 44605, 6515, 6070, 6489, 14179, 1814, 912, 51, 44, 1.96, 137650,  X*
54, 58.0, 259338, 244000, 12472, 55016, 16996, 17401, 10875, 7626, 27, 48, 2.02, 623724,  X*
55, 59.0, 61176, 15121, 6867, 460, 1674, 5283, 1431, 390, 37, 30, 2.12, 92402,  X*
56, 60.0, 73109, 25238, 21316, 11818, 15616, 2547, 5512, 1614, 35, 47, 2.12, 156770,  X*
57, 61.0, 299096, 27239, 29696, 12015, 12734, 13417, 5454, 2974, 30, 74, 2.04, 402625,  X*
58, 62.0, 688053, 299011, 172439, 30257, 44081, 43044, 11894, 24106, 37, 87, 2.05, 1312885,  X*
59, 63.0, 1143357, 56577, 14432, 9632, 38016, 10646, 6414, 2914, 27, 78, 2.02, 1281988,  X*
60, 64.0, 1206461, 132153, 70358, 64640, 56700, 23646, 18095, 8587, 38, 75, 2.11, 1580640,  X*
61, 65.0, 263410, 49884, 4541, 12695, 5742, 6960, 2806, 1770, 27, 56, 2.05, 347808,  X*
62, 66.0, 308597, 21016, 13263, 2575, 4352, 4005, 957, 706, 34, 56, 2.18, 355471,  X*
63, 67.0, 111528, 11349, 3335, 876, 1060, 1502, 966, 455, 26, 63, 2.07, 131071,  X*
64, 68.0, 986695, 272320, 11275, 37221, 8491, 10986, 3386, 1435, 13, 37, 2.37, 1331809,  X*
65, 69.0, 89308, 82461, 14688, 10582, 8226, 7843, 7086, 6113, 10, 35, 2.19, 226307,  X*
66, 70.0, 150000, 7110, 3407, 7130, 2566, 6217, 903, 1275, 26, 37, 2.24, 178608,  X*
67, 71.0, 210063, 53905, 30224, 8320, 4873, 6193, 2642, 2962, 23, 48, 2.17, 319182,  X*
68, 72.0, 25975, 9693, 11414, 29113, 6573, 4867, 1590, 2008, 38, 83, 2.49, 91233,  X*
69, 73.0, 89463, 19091, 20389, 4097, 7060, 7923, 7786, 2093, 53, 94, 2.18, 157902,  X*
70, 74.0, 1085497, 62527, 35937, 65709, 20532, 51448, 6455, 7534, 50, 91, 2.43, 1335639,  X*
71, 75.0, 169079, 66112, 40329, 7309, 5749, 10221, 6370, 3078, 53, 83, 2.42, 308247,  X*
72, 76.0, 378806, 28040, 14255, 4124, 5240, 12777, 3056, 2501, 69, 60, 2.27, 448799,  X*
