obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 4.0, 1956699, 379538, 146204, 136902, 54789, 46025, 25573, 29650, NA, NA, 2.27, 2775380,  X*
2, 5.0, 203733, 49406, 2293, 21781, 19662, 18848, 4023, 4995, NA, NA, 1.86, 324741,  X*
3, 6.0, 93202, 26444, 1535, 1283, 909, 8853, 1516, 349, NA, NA, 1.67, 134091,  X*
4, 7.0, 701670, 149480, 47448, 37949, 51369, 23884, 18793, 18340, 37, 48, 1.63, 1048933,  X*
5, 8.0, 246169, 197604, 156191, 13944, 27179, 48479, 50808, 25158, 37, 61, 1.58, 765532,  X*
6, 9.0, 1170034, 93569, 25873, 10769, 3551, 13848, 8858, 5512, 35, 67, 1.44, 1332014,  X*
7, 10.0, 880561, 50187, 6829, 14469, 12184, 8621, 4789, 2981, 37, 75, 1.47, 980621,  X*
8, 11.0, 144202, 47919, 14201, 3346, 3582, 10805, 4465, 3848, 44, 70, 1.49, 232368,  X*
9, 12.0, 1150184, 81755, 17650, 11398, 17496, 11118, 5421, 2485, 40, 63, 1.57, 1297507,  X*
10, 13.0, 682165, 95606, 18887, 5350, 4867, 32956, 10316, 4754, 56, 54, 1.55, 854901,  X*
11, 14.0, 68003, 10360, 4144, 2311, 1511, 1278, 1063, 898, 48, 60, 1.60, 89568,  X*
12, 15.0, 373505, 18007, 3987, 2718, 3683, 3603, 2074, 1281, 47, 60, 1.55, 408858,  X*
13, 16.0, 910260, 149591, 26124, 12757, 15253, 5769, 12130, 4964, 30, 57, 1.58, 1136848,  X*
14, 17.0, 2220869, 73683, 9568, 21683, 50132, 30855, 14687, 28031, 30, 61, 1.36, 2449508,  X*
15, 18.0, 120808, 43520, 2524, 3557, 1663, 4927, 3421, 1938, 37, 47, 1.33, 182358,  X*
16, 19.0, 2265189, 436319, 2082, 87956, 95340, 86351, 14279, 28175, 37, 38, 1.21, 3015691,  X*
17, 20.0, 110337, 15525, 240, 4647, 2380, 4008, 1155, 646, 63, 38, 1.21, 138938,  X*
18, 21.0, 638578, 54775, 19995, 1000, 12184, 20729, 10395, 4633, 60, 40, 1.11, 762289,  X*
19, 22.0, 388358, 10644, 1793, 3683, 2289, 9037, 2240, 1066, 84, 48, 1.20, 419110,  X*
20, 23.0, 1964156, 178338, 50040, 41751, 81395, 154627, 34336, 18807, 100, 54, 1.25, 2523450,  X*
21, 24.0, 847032, 228276, 25108, 65660, 59758, 55304, 10057, 12913, 100, 56, 1.40, 1304108,  X*
22, 25.0, 1490028, 106145, 11445, 13055, 20290, 9765, 8813, 2599, 83, 51, 1.42, 1662140,  X*
23, 26.0, 259592, 127256, 31423, 10624, 11049, 12706, 6974, 3857, 54, 51, 1.60, 463481,  X*
24, 27.0, 630754, 116132, 32671, 100832, 47565, 58546, 37450, 10292, 41, 63, 1.68, 1034242,  X*
25, 28.0, 1037295, 94216, 9872, 3445, 8671, 11837, 6743, 2501, 35, 54, 1.66, 1174580,  X*
26, 29.0, 84200, 29366, 1723, 1879, 1990, 3274, 1439, 1337, 38, 50, 1.50, 125208,  X*
27, 30.0, 290553, 106490, 865, 9224, 4916, 18320, 3450, 2902, 47, 35, 1.41, 436720,  X*
28, 31.0, 602298, 32896, 29998, 9633, 11981, 20253, 8118, 5000, 50, 35, 1.37, 720177,  X*
29, 32.0, 1205922, 67852, 10183, 8547, 18869, 22971, 5842, 2362, 63, 38, 1.34, 1342548,  X*
30, 33.0, 2533997, 338817, 80821, 62339, 91084, 73680, 16925, 9041, 69, 50, 1.57, 3206704,  X*
31, 34.0, 147089, 35813, 6625, 1698, 6848, 5246, 2568, 2147, 67, 60, 1.60, 208034,  X*
32, 35.0, 154679, 46826, 3362, 10369, 3263, 2167, 1996, 2660, 40, 51, 1.71, 225322,  X*
33, 36.0, 618311, 32534, 75079, 21904, 5886, 12005, 9382, 2308, 23, 74, 1.95, 777409,  X*
34, 37.0, 188299, 136473, 9773, 4093, 14921, 10600, 4564, 2190, 13, 61, 1.93, 370913,  X*
35, 38.0, 69181, 20310, 6447, 4858, 2045, 5507, 2354, 903, 16, 67, 1.83, 111605,  X*
36, 39.0, 1353816, 328529, 108527, 17205, 19716, 57272, 25952, 20880, 34, 69, 1.88, 1931897,  X*
37, 40.0, 887631, 83655, 11741, 7624, 24695, 16677, 10017, 3756, 43, 44, 1.79, 1045796,  X*
38, 41.0, 436977, 106274, 8153, 30602, 12117, 20339, 6626, 5517, 53, 56, 1.55, 626605,  X*
39, 42.0, 513806, 25933, 10485, 4174, 11943, 14061, 4238, 2261, 64, 51, 1.56, 586901,  X*
40, 43.0, 428986, 79036, 14834, 5442, 6302, 18080, 7113, 3797, 69, 47, 1.45, 563590,  X*
41, 44.0, 1576126, 35376, 50615, 7057, 11555, 15113, 8856, 1785, 67, 64, 1.60, 1706483,  X*
42, 45.0, 212053, 24292, 6679, 1178, 2939, 2437, 1871, 1268, 60, 64, 1.65, 252717,  X*
43, 46.0, 834061, 41927, 3879, 12472, 13600, 11996, 7605, 2947, 50, 63, 1.56, 928487,  X*
44, 47.0, 1482222, 278087, 101783, 51204, 109067, 89899, 36478, 20552, 51, 67, 1.59, 2169292,  X*
45, 48.0, 1131743, 427818, 128004, 41997, 92661, 143107, 35618, 34339, 56, 54, 1.62, 2035287,  X*
46, 49.0, 34135, 21823, 5842, 2978, 6848, 2172, 4108, 957, 56, 54, 1.44, 78863,  X*
47, 50.0, 170244, 12670, 4577, 3160, 1208, 3931, 2706, 902, 57, 61, 1.45, 199398,  X*
48, 51.0, 1174217, 659204, 54444, 44985, 26479, 46402, 28880, 30028, 41, 53, 1.46, 2064639,  X*
49, 52.0, 180093, 180122, 5281, 2841, 8294, 12514, 6730, 8295, 24, 34, 1.28, 404170,  X*
50, 53.0, 829849, 243456, 154245, 74649, 65630, 43789, 52010, 19239, 27, 43, 1.35, 1482867,  X*
51, 54.0, 154634, 144044, 34205, 9028, 15334, 6996, 7882, 9493, 3, 37, 1.37, 381616,  X*
52, 55.0, 611609, 94996, 9066, 30526, 16269, 10909, 7562, 5249, 4, 47, 1.41, 786186,  X*
53, 56.0, 227068, 64520, 4841, 6801, 3070, 3110, 1787, 1212, 1, 60, 1.54, 312409,  X*
54, 57.0, 564746, 89015, 14377, 12538, 20650, 16209, 12325, 6557, 4, 48, 1.64, 736417,  X*
55, 58.0, 1426258, 375433, 36742, 78486, 29166, 190443, 28167, 11873, 38, 44, 1.62, 2176568,  X*
56, 59.0, 1079599, 1110767, 25701, 21435, 14369, 60848, 37096, 11374, 34, 23, 1.52, 2361189,  X*
57, 60.0, 241611, 85536, 10481, 7529, 13822, 6618, 9699, 1333, 38, 23, 1.46, 376629,  X*
58, 61.0, 1679541, 551759, 56200, 47136, 70149, 73964, 24002, 5484, 38, 20, 1.46, 2508235,  X*
59, 62.0, 184645, 109711, 130696, 36285, 31661, 51939, 20799, 10964, 26, 37, 1.67, 576700,  X*
60, 63.0, 1037934, 292162, 86864, 6678, 29908, 42851, 31428, 14347, 38, 56, 1.58, 1542172,  X*
61, 64.0, 469938, 129783, 20040, 84471, 42298, 51652, 25920, 9180, 54, 66, 1.71, 833282,  X*
62, 65.0, 1309650, 63284, 20423, 16371, 10623, 19100, 8438, 4802, 60, 77, 1.77, 1452691,  X*
63, 66.0, 895070, 74866, 6005, 20155, 20710, 25738, 11095, 6044, 64, 61, 1.61, 1059683,  X*
64, 67.0, 1088779, 667233, 70646, 35539, 54844, 45024, 19840, 7167, 54, 54, 1.57, 1989072,  X*
65, 68.0, 1795637, 205139, 42889, 19425, 43096, 56365, 20846, 28829, 54, 47, 1.54, 2212226,  X*
66, 69.0, 1675304, 68145, 54041, 88316, 43055, 81975, 31142, 15227, 64, 53, 1.55, 2057205,  X*
67, 70.0, 245475, 37198, 26680, 4200, 25922, 22901, 6077, 2565, 69, 60, 1.57, 371018,  X*
68, 71.0, 110999, 18411, 5073, 1065, 2095, 2763, 1171, 899, 80, 66, 1.66, 142476,  X*
69, 72.0, 2045060, 262223, 92598, 132476, 42108, 62224, 28284, 29429, 75, 78, 1.65, 2694402,  X*
70, 73.0, 222918, 91454, 12438, 13635, 17536, 19856, 4584, 6139, 61, 63, 1.74, 388560,  X*
71, 74.0, 171231, 12670, 5380, 5032, 2682, 5067, 666, 2962, 54, 66, 1.74, 205690,  X*
72, 75.0, 556153, 42626, 12645, 7183, 10662, 11973, 6960, 2872, 60, 67, 1.68, 651074,  X*
73, 76.0, 952424, 475967, 135204, 34214, 61455, 106253, 17404, 18851, 63, 60, 1.76, 1801772,  X*
74, 77.0, 1064001, 128981, 6044, 14258, 17435, 10750, 3762, 2002, 50, 54, 1.74, 1247233,  X*
75, 78.0, 1065900, 61911, 12772, 11094, 44169, 29539, 5093, 3902, 57, 43, 1.76, 1234380,  X*
76, 79.0, 2159032, 719681, 279898, 170335, 97784, 27539, 19725, 29925, 34, 50, 2.00, 3503919,  X*
77, 80.0, 188183, 14794, 2880, 4029, 3996, 1660, 852, 670, 26, 51, 2.13, 217064,  X*
78, 81.0, 610342, 142784, 12212, 27554, 33893, 13268, 7451, 1675, 27, 56, 2.16, 849179,  X*
