obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 503976, 104570, 225108, 141733, 29146, 75356, 18118, 24588, NA, NA, 2.92, 1122595,  X*
2, 6.0, 743008, 90050, 4158, 13362, 13633, 6235, 7565, 5156, NA, NA, 2.03, 883167,  X*
3, 7.0, 1407095, 265516, 93260, 25214, 53127, 71534, 29483, 18173, NA, NA, 1.86, 1963402,  X*
4, 8.0, 520770, 35029, 766, 12420, 27243, 15100, 4745, 3332, 51, 30, 1.67, 619405,  X*
5, 9.0, 1596491, 132751, 57230, 50930, 60871, 37809, 48645, 17121, 56, 30, 1.60, 2001848,  X*
6, 10.0, 469162, 122163, 96859, 65896, 25451, 23883, 37810, 11313, 53, 38, 1.39, 852537,  X*
7, 11.0, 1286783, 281437, 18821, 95590, 39003, 28755, 29345, 14923, 48, 37, 1.47, 1794657,  X*
8, 12.0, 195801, 182303, 13363, 10770, 9103, 11800, 3786, 6780, 26, 34, 1.47, 433706,  X*
9, 13.0, 155195, 141119, 13264, 9034, 8747, 15204, 15370, 4687, 21, 21, 1.47, 362620,  X*
10, 14.0, 909533, 160986, 104134, 80495, 75131, 45443, 43769, 12009, 26, 20, 1.59, 1431500,  X*
11, 15.0, 200426, 97125, 20003, 4734, 9562, 9549, 9060, 6983, 27, 14, 1.44, 357442,  X*
12, 16.0, 160765, 75085, 58756, 14756, 8554, 18863, 11427, 5174, 38, 30, 1.55, 353380,  X*
13, 17.0, 33521, 29350, 2547, 7252, 5056, 6711, 2927, 765, 44, 37, 1.57, 88129,  X*
14, 18.0, 880302, 84596, 8163, 10760, 23971, 18277, 6423, 5748, 48, 24, 1.60, 1038240,  X*
15, 19.0, 325618, 532505, 89955, 16215, 34509, 37387, 28214, 16727, 44, 21, 1.51, 1081130,  X*
16, 20.0, 296119, 53097, 15922, 4847, 23027, 21146, 8830, 2222, 53, 13, 1.55, 425210,  X*
17, 21.0, 107701, 10073, 2278, 4060, 5120, 4791, 2350, 1103, 60, 14, 1.42, 137476,  X*
18, 22.0, 681297, 91670, 131442, 46324, 20592, 46407, 29530, 24518, 57, 34, 1.44, 1071780,  X*
19, 23.0, 1833063, 244813, 73343, 41527, 67806, 31079, 25687, 7898, 63, 40, 1.57, 2325216,  X*
20, 24.0, 757324, 73682, 16485, 6800, 11463, 19168, 4865, 3115, 60, 40, 1.62, 892902,  X*
21, 25.0, 1006456, 228757, 29278, 54553, 55736, 50855, 29227, 16177, 54, 37, 1.61, 1471039,  X*
22, 26.0, 223901, 17077, 22399, 4775, 9035, 9140, 11120, 3853, 56, 34, 1.60, 301300,  X*
23, 27.0, 412304, 57849, 11971, 12700, 12210, 8843, 5258, 4187, 57, 34, 1.57, 525322,  X*
24, 28.0, 647595, 51223, 22264, 114797, 30383, 58334, 16490, 19057, 63, 44, 1.56, 960143,  X*
25, 29.0, 535450, 169404, 54594, 17524, 36884, 42099, 19856, 17256, 64, 47, 1.49, 893067,  X*
26, 30.0, 896690, 190499, 24430, 170825, 108874, 52579, 31372, 18727, 60, 43, 1.58, 1493996,  X*
27, 31.0, 57137, 28085, 417, 1198, 1901, 3055, 1526, 1007, 57, 26, 1.48, 94326,  X*
28, 32.0, 481002, 29041, 1763, 14172, 6012, 11118, 7466, 2009, 54, 17, 1.40, 552583,  X*
29, 33.0, 663221, 90007, 9233, 37662, 17725, 90195, 20574, 4992, 70, 17, 1.30, 933609,  X*
30, 34.0, 2040142, 185018, 63491, 77951, 22926, 55294, 16530, 13477, 74, 17, 1.47, 2474829,  X*
31, 35.0, 190908, 66950, 15881, 22236, 12495, 10909, 7168, 4692, 75, 37, 1.47, 331239,  X*
32, 36.0, 421150, 291115, 61082, 44034, 30289, 93187, 26069, 26533, 74, 35, 1.59, 993459,  X*
33, 37.0, 669993, 54467, 4645, 8059, 16069, 9556, 11981, 3685, 54, 30, 1.53, 778455,  X*
34, 38.0, 409936, 35009, 18064, 7266, 3690, 21248, 6933, 2677, 63, 29, 1.59, 504823,  X*
35, 39.0, 756812, 746372, 73031, 11415, 131726, 48829, 30932, 18086, 56, 16, 1.40, 1817203,  X*
36, 40.0, 148838, 19457, 6411, 1566, 4578, 4973, 2398, 2040, 53, 16, 1.29, 190261,  X*
37, 41.0, 176829, 321229, 11721, 19071, 5857, 13759, 10327, 4487, 38, 13, 1.30, 563280,  X*
38, 42.0, 861976, 130356, 20212, 12449, 24547, 16249, 12153, 3645, 23, 7, 1.41, 1081587,  X*
39, 43.0, 149365, 111076, 16643, 11391, 3672, 8290, 13868, 5339, 24, 13, 1.33, 319644,  X*
40, 44.0, 809079, 106917, 5802, 3616, 16667, 12077, 19643, 16285, 17, 1, 1.19, 990086,  X*
41, 45.0, 1268068, 128633, 55235, 23455, 50727, 72635, 18792, 18560, 43, 11, 1.22, 1636105,  X*
42, 46.0, 53044, 4313, 9508, 2976, 2558, 3543, 2382, 1023, 51, 26, 1.31, 79347,  X*
43, 47.0, 1577450, 64300, 31381, 4740, 5998, 13055, 7635, 12543, 60, 34, 1.26, 1717102,  X*
44, 48.0, 783343, 213723, 23465, 4971, 11087, 24905, 7418, 2380, 60, 37, 1.34, 1071292,  X*
45, 49.0, 1654859, 446424, 71276, 26420, 123939, 89268, 16071, 25269, 50, 29, 1.54, 2453526,  X*
46, 50.0, 995370, 94985, 14689, 8647, 5945, 10508, 915, 899, 40, 14, 1.97, 1131958,  X*
47, 51.0, 79996, 142417, 22480, 10592, 10372, 6110, 10493, 2559, 24, 10, 1.92, 285019,  X*
48, 52.0, 743409, 28230, 4867, 16786, 6426, 16650, 4202, 4883, 40, 21, 1.97, 825453,  X*
49, 53.0, 46860, 27878, 1052, 2783, 2623, 6433, 1922, 1248, 43, 17, 1.85, 90799,  X*
50, 54.0, 449948, 152551, 54325, 16543, 38640, 29006, 27085, 9813, 48, 23, 1.83, 777911,  X*
51, 55.0, 1394038, 421498, 140459, 21124, 57614, 43890, 37206, 12490, 56, 24, 1.46, 2128319,  X*
52, 56.0, 112623, 15228, 1032, 1657, 1151, 2142, 905, 596, 44, 14, 1.39, 135334,  X*
53, 57.0, 135800, 1684, 4175, 2251, 3027, 5207, 791, 1163, 60, 30, 1.46, 154098,  X*
54, 58.0, 869642, 16710, 8974, 12107, 5283, 10977, 9837, 1193, 67, 37, 1.55, 934723,  X*
55, 59.0, 1585868, 30865, 13418, 4215, 10456, 15899, 4131, 5550, 87, 38, 1.54, 1670402,  X*
