obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 739613, 233642, 58204, 7231, 5305, 8003, 15172, 6370, NA, NA, 1.61, 1073540,  X*
2, 6.0, 72781, 2151, 1477, 525, 974, 668, 1065, 192, NA, NA, 1.46, 79833,  X*
3, 7.0, 957444, 126933, 46145, 11362, 3738, 12683, 3741, 3646, NA, NA, 1.86, 1165692,  X*
4, 8.0, 466866, 73520, 15261, 15239, 31760, 11523, 6703, 3017, 48, 30, 1.84, 623889,  X*
5, 9.0, 2053374, 481023, 72195, 136270, 37122, 184745, 50904, 22785, 67, 27, 1.81, 3038418,  X*
6, 10.0, 702595, 32972, 2017, 2266, 2295, 2517, 1019, 891, 70, 10, 1.79, 746572,  X*
7, 11.0, 111410, 9776, 10607, 1883, 3068, 2324, 1170, 829, 81, 34, 1.99, 141067,  X*
8, 12.0, 383216, 72049, 27233, 2048, 16649, 12128, 6910, 3336, 81, 43, 1.76, 523569,  X*
9, 13.0, 45198, 3733, 146, 290, 1569, 931, 312, 690, 78, 27, 1.53, 52869,  X*
10, 14.0, 416700, 104536, 14608, 25653, 15198, 13107, 4998, 4232, 81, 51, 1.61, 599032,  X*
11, 15.0, 98945, 11534, 4503, 2085, 2536, 3876, 3027, 1331, 90, 38, 1.56, 127837,  X*
12, 16.0, 179534, 17340, 3655, 618, 2044, 3668, 2554, 829, 96, 35, 1.31, 210242,  X*
13, 17.0, 328663, 12440, 4815, 2652, 2325, 1229, 1564, 763, 81, 67, 1.37, 354451,  X*
14, 18.0, 1983561, 216747, 134521, 118100, 42422, 65771, 22440, 13976, 88, 84, 1.77, 2597538,  X*
15, 19.0, 1058869, 549462, 84468, 33460, 67367, 44422, 22367, 22477, 70, 74, 1.67, 1882892,  X*
16, 20.0, 497839, 281403, 49784, 30838, 43677, 53212, 20845, 32881, 67, 75, 1.67, 1010479,  X*
17, 21.0, 161230, 34214, 5971, 1654, 371, 2829, 1450, 1146, 69, 60, 1.78, 208865,  X*
18, 22.0, 7276, 65122, 8637, 3262, 1684, 2537, 1172, 1248, 51, 34, 1.85, 90938,  X*
